gameid_num,gameid,away,home
0041200111,20130420BOSNYK,BOS,NYK
0041200161,20130420GSWDEN,GSW,DEN
0041200131,20130420CHIBKN,CHI,BKN
0041200171,20130420MEMLAC,MEM,LAC
0041200121,20130421ATLIND,ATL,IND
0041200151,20130421LALSAS,LAL,SAS
0041200101,20130421MILMIA,MIL,MIA
0041200141,20130421HOUOKC,HOU,OKC
0041200132,20130422CHIBKN,CHI,BKN
0041200172,20130422MEMLAC,MEM,LAC
0041200102,20130423MILMIA,MIL,MIA
0041200112,20130423BOSNYK,BOS,NYK
0041200162,20130423GSWDEN,GSW,DEN
0041200142,20130424HOUOKC,HOU,OKC
0041200122,20130424ATLIND,ATL,IND
0041200152,20130424LALSAS,LAL,SAS
0041200103,20130425MIAMIL,MIA,MIL
0041200133,20130425BKNCHI,BKN,CHI
0041200173,20130425LACMEM,LAC,MEM
0041200113,20130426NYKBOS,NYK,BOS
0041200153,20130426SASLAL,SAS,LAL
0041200163,20130426DENGSW,DEN,GSW
0041200134,20130427BKNCHI,BKN,CHI
0041200174,20130427LACMEM,LAC,MEM
0041200123,20130427INDATL,IND,ATL
0041200143,20130427OKCHOU,OKC,HOU
0041200114,20130428NYKBOS,NYK,BOS
0041200104,20130428MIAMIL,MIA,MIL
0041200154,20130428SASLAL,SAS,LAL
0041200164,20130428DENGSW,DEN,GSW
0041200135,20130429CHIBKN,CHI,BKN
0041200124,20130429INDATL,IND,ATL
0041200144,20130429OKCHOU,OKC,HOU
0041200165,20130430GSWDEN,GSW,DEN
0041200175,20130430MEMLAC,MEM,LAC
0041200115,20130501BOSNYK,BOS,NYK
0041200125,20130501ATLIND,ATL,IND
0041200145,20130501HOUOKC,HOU,OKC
0041200136,20130502BKNCHI,BKN,CHI
0041200166,20130502DENGSW,DEN,GSW
0041200116,20130503NYKBOS,NYK,BOS
0041200126,20130503INDATL,IND,ATL
0041200146,20130503OKCHOU,OKC,HOU
0041200176,20130503LACMEM,LAC,MEM
0041200137,20130504CHIBKN,CHI,BKN
0041200221,20130505MEMOKC,MEM,OKC
0041200211,20130505INDNYK,IND,NYK
0041200201,20130506CHIMIA,CHI,MIA
0041200231,20130506GSWSAS,GSW,SAS
0041200212,20130507INDNYK,IND,NYK
0041200222,20130507MEMOKC,MEM,OKC
0041200202,20130508CHIMIA,CHI,MIA
0041200232,20130508GSWSAS,GSW,SAS
0041200203,20130510MIACHI,MIA,CHI
0041200233,20130510SASGSW,SAS,GSW
0041200223,20130511OKCMEM,OKC,MEM
0041200213,20130511NYKIND,NYK,IND
0041200234,20130512SASGSW,SAS,GSW
0041200204,20130513MIACHI,MIA,CHI
0041200224,20130513OKCMEM,OKC,MEM
0041200214,20130514NYKIND,NYK,IND
0041200235,20130514GSWSAS,GSW,SAS
0041200205,20130515CHIMIA,CHI,MIA
0041200225,20130515MEMOKC,MEM,OKC
0041200215,20130516INDNYK,IND,NYK
0041200236,20130516SASGSW,SAS,GSW
0041200226,20130517OKCMEM,OKC,MEM
0041200216,20130518NYKIND,NYK,IND
0041200311,20130519MEMSAS,MEM,SAS
0041200217,20130520INDNYK,IND,NYK
0041200312,20130521MEMSAS,MEM,SAS
0041200301,20130522INDMIA,IND,MIA
0041200302,20130524INDMIA,IND,MIA
0041200313,20130525SASMEM,SAS,MEM
0041200303,20130526MIAIND,MIA,IND
0041200314,20130527SASMEM,SAS,MEM
0041200304,20130528MIAIND,MIA,IND
0041200315,20130529MEMSAS,MEM,SAS
0041200305,20130530INDMIA,IND,MIA
0041200316,20130531SASMEM,SAS,MEM
0041200306,20130601MIAIND,MIA,IND
0041200317,20130602MEMSAS,MEM,SAS
0041200307,20130603INDMIA,IND,MIA
0041200401,20130606SASMIA,SAS,MIA
0041200402,20130609SASMIA,SAS,MIA
0041200403,20130611MIASAS,MIA,SAS
0041200404,20130613MIASAS,MIA,SAS
0041200405,20130616MIASAS,MIA,SAS
0041200406,20130618SASMIA,SAS,MIA
0041200407,20130620SASMIA,SAS,MIA
