dataid,gameid
1349077,20131029LALLAC
1349547,20131029MIACHI
1349074,20131029INDORL
1348878,20131030GSWLAL
1349504,20131030SACDEN
1348742,20131030PHXPOR
1349480,20131030UTAOKC
1348770,20131030DALATL
1349739,20131030SASMEM
1349705,20131030NOPIND
1349123,20131030HOUCHA
1348883,20131030MINORL
1349645,20131030DETWAS
1349725,20131030NYKMIL
1349349,20131030CLEBKN
1349899,20131030TORBOS
1348907,20131030PHIMIA
1349298,20131031LACGSW
1348757,20131031CHINYK
1349083,20131101LALSAS
1348744,20131101PHXUTA
1349508,20131101SACLAC
1348743,20131101DENPOR
1349478,20131101MEMDET
1349152,20131101HOUDAL
1348901,20131101BKNMIA
1348886,20131101MINOKC
1349097,20131101BOSMIL
1349578,20131101ATLTOR
1349129,20131101WASPHI
1349766,20131101CHACLE
1348764,20131101ORLNOP
1348882,20131102GSWSAC
1349073,20131102PORSAS
1349485,20131102UTAHOU
1349339,20131102MILTOR
1348780,20131102DALMEM
1349707,20131102NOPCHA
1348953,20131102PHICHI
1349079,20131102INDCLE
1349088,20131103LALATL
1349976,20131103NYKMIN
1349275,20131103OKCPHX
1349651,20131103DETBOS
1349551,20131103MIAWAS
1348771,20131103ORLBKN
1349302,20131104LACHOU
1349483,20131104MEMBOS
1349356,20131104CLEMIN
1348964,20131104PHIGSW
1349078,20131105PORHOU
1349513,20131105SACATL
1348745,20131105DENSAS
1348786,20131105DALLAL
1349710,20131105NOPPHX
1348906,20131105BKNUTA
1349659,20131105DETIND
1349728,20131105NYKCHA
1349902,20131105TORMIA
1349280,20131106OKCDAL
1349743,20131106SASPHX
1349344,20131106MILCLE
1349488,20131106MEMNOP
1348890,20131106MINGSW
1349100,20131106BOSUTA
1348977,20131106PHIWAS
1349084,20131106INDCHI
1349774,20131106CHATOR
1348781,20131106ORLLAC
1349159,20131107HOULAL
1348747,20131107DENATL
1349557,20131107MIALAC
1349082,20131108PORSAC
1348746,20131108PHXDEN
1349747,20131108SASGSW
1348893,20131108MINDAL
1349713,20131108NOPLAL
1348760,20131108CHIUTA
1349666,20131108DETOKC
1348989,20131108PHICLE
1349090,20131108INDTOR
1349141,20131108WASBKN
1349780,20131108CHANYK
1348784,20131108ORLBOS
1349517,20131109SACPOR
1349348,20131109MILDAL
1349495,20131109MEMGSW
1349164,20131109HOULAC
1349587,20131109ATLORL
1348913,20131109BKNIND
1349363,20131109CLEPHI
1349562,20131109MIABOS
1349906,20131109TORUTA
1349091,20131110LALMIN
1348748,20131110PHXNOP
1349285,20131110OKCWAS
1349730,20131110NYKSAS
1349307,20131111LACMIN
1349086,20131111PORDET
1349490,20131111UTADEN
1349177,20131111HOUTOR
1348766,20131111CHICLE
1349105,20131111BOSORL
1349093,20131111INDMEM
1349784,20131111CHAATL
1348999,20131111PHISAS
1349095,20131112LALNOP
1348885,20131112GSWDET
1348797,20131112DALWAS
1349568,20131112MIAMIL
1349313,20131113LACOKC
1349089,20131113PORPHX
1349521,20131113SACBKN
1348749,20131113DENLAL
1349498,20131113UTANOP
1349751,20131113SASWAS
1349596,20131113ATLNYK
1349503,20131113MEMTOR
1348899,20131113MINCLE
1349109,20131113BOSCHA
1349010,20131113PHIHOU
1348791,20131113ORLMIL
1348891,20131114GSWOKC
1349734,20131114NYKHOU
1349525,20131115SACDET
1349099,20131115LALMEM
1348750,20131115PHXBKN
1349502,20131115UTASAS
1348751,20131115DENMIN
1349606,20131115ATLPHI
1349112,20131115BOSPOR
1349370,20131115CLECHA
1349574,20131115MIADAL
1349909,20131115TORCHI
1349098,20131115INDMIL
1349317,20131116LACBKN
1348894,20131116GSWUTA
1349353,20131116MILOKC
1349715,20131116NOPPHI
1349183,20131116HOUDEN
1348905,20131116MINBOS
1348773,20131116CHIIND
1349738,20131116NYKATL
1349153,20131116WASCLE
1349792,20131116CHAMIA
1348795,20131116ORLDAL
1349104,20131117LALDET
1349529,20131117SACMEM
1349912,20131117TORPOR
1349321,20131118LACMEM
1349505,20131118UTAGSW
1348806,20131118DALPHI
1349290,20131118OKCDEN
1348777,20131118CHICHA
1348918,20131118BKNPOR
1349533,20131119SACPHX
1349191,20131119HOUBOS
1349672,20131119DETNYK
1349586,20131119MIAATL
1349175,20131119WASMIN
1348900,20131120GSWMEM
1348812,20131120DALHOU
1348752,20131120PHXSAC
1349753,20131120SASBOS
1349717,20131120NOPUTA
1349358,20131120MILPOR
1348910,20131120MINLAC
1349614,20131120ATLDET
1349018,20131120PHITOR
1349381,20131120CLEWAS
1349810,20131120CHABKN
1348801,20131120ORLMIA
1349742,20131120NYKIND
1348755,20131121DENCHI
1349293,20131121OKCLAC
1349110,20131122LALGSW
1349092,20131122PORCHI
1348819,20131122DALUTA
1349719,20131122NOPCLE
1349510,20131122MEMSAS
1348915,20131122MINBKN
1349676,20131122DETATL
1349116,20131122BOSIND
1349813,20131122CHAPHX
1349914,20131122TORWAS
1349025,20131122PHIMIL
1348904,20131123GSWPOR
1348758,20131123DENDAL
1349364,20131123MILCHA
1349758,20131123SASCLE
1349198,20131123HOUMIN
1349621,20131123ATLBOS
1349592,20131123MIAORL
1349102,20131123INDPHI
1349188,20131123WASNYK
1349325,20131123LACSAC
1349114,20131124LALSAC
1349295,20131124OKCUTA
1348807,20131124ORLPHX
1349332,20131124LACCHI
1348923,20131124BKNDET
1349096,20131125PORNYK
1349511,20131125UTACHI
1349761,20131125SASNOP
1348842,20131125DALDEN
1349514,20131125MEMHOU
1349597,20131125MIAPHX
1349679,20131125DETMIL
1349819,20131125CHABOS
1349108,20131125INDMIN
1349721,20131126NOPGSW
1349629,20131126ATLORL
1349918,20131126TORBKN
1349195,20131126WASLAL
1349336,20131127LACNYK
1348753,20131127PHXPOR
1348851,20131127DALGSW
1349301,20131127OKCSAS
1349369,20131127MILWAS
1349205,20131127HOUATL
1348920,20131127MINDEN
1348929,20131127BKNLAL
1349119,20131127BOSMEM
1349387,20131127CLEMIA
1349682,20131127DETCHI
1349825,20131127CHAIND
1348817,20131127ORLPHI
1349537,20131129SACLAC
1348762,20131129DENNYK
1349516,20131129UTAPHX
1349214,20131129HOUBKN
1349303,20131129OKCGSW
1349113,20131129INDWAS
1349040,20131129PHINOP
1349122,20131129BOSCLE
1349635,20131129ATLDAL
1349686,20131129DETLAL
1349830,20131129CHAMIL
1349920,20131129TORMIA
1348823,20131129ORLSAS
1348754,20131130PHXUTA
1349373,20131130MILBOS
1349763,20131130SASHOU
1348857,20131130DALMIN
1349519,20131130MEMBKN
1349395,20131130CLECHI
1349203,20131130WASATL
1349117,20131201LALPOR
1349748,20131201NYKNOP
1349308,20131201OKCMIN
1349603,20131201MIACHA
1349539,20131201SACGSW
1349343,20131201LACIND
1349692,20131201DETPHI
1349922,20131201TORDEN
1349101,20131202PORIND
1349520,20131202UTAHOU
1349768,20131202SASATL
1348785,20131202CHINOP
1349212,20131202WASORL
1348911,20131203GSWTOR
1349542,20131203SACOKC
1348865,20131203DALCHA
1349527,20131203MEMPHX
1349610,20131203MIADET
1348936,20131203BKNDEN
1349127,20131203BOSMIL
1349064,20131203PHIORL
1348926,20131204MINSAS
1349103,20131204POROKC
1349524,20131204UTAIND
1349724,20131204NOPDAL
1349379,20131204MILDET
1349222,20131204HOUPHX
1349646,20131204ATLLAC
1349401,20131204CLEDEN
1348792,20131205CHIMIA
1349532,20131205MEMLAC
1348941,20131205BKNNYK
1349546,20131206SACLAL
1349106,20131206PORUTA
1348756,20131206PHXTOR
1349733,20131206NOPOKC
1349228,20131206HOUGSW
1349752,20131206NYKORL
1349131,20131206BOSDEN
1349656,20131206ATLCLE
1349840,20131206CHAPHI
1349221,20131206WASMIL
1349111,20131207PORDAL
1349528,20131207UTASAC
1349771,20131207SASIND
1349384,20131207MILBKN
1349536,20131207MEMGSW
1348799,20131207CHIDET
1348933,20131207MINMIA
1349408,20131207CLELAC
1349071,20131207PHIDEN
1349121,20131208LALTOR
1349314,20131208OKCIND
1349234,20131208HOUORL
1349693,20131208DETMIA
1349756,20131208NYKBOS
1349550,20131209SACDAL
1349534,20131209UTAPOR
1349540,20131209MEMORL
1349845,20131209CHAGSW
1349226,20131209WASDEN
1349094,20131209PHILAC
1349126,20131210LALPHX
1348803,20131210CHIMIL
1349697,20131210DETMIN
1349663,20131210ATLOKC
1348947,20131210BKNBOS
1349413,20131210CLENYK
1349927,20131210TORSAS
1349118,20131210INDMIA
1348916,20131211GSWDAL
1349552,20131211SACUTA
1349760,20131211NYKCHI
1349740,20131211NOPDET
1349543,20131211MEMOKC
1348939,20131211MINPHI
1349388,20131211MILSAS
1349133,20131211BOSLAC
1349850,20131211CHAORL
1349115,20131212PORHOU
1348952,20131212BKNLAC
1348922,20131213GSWHOU
1348759,20131213PHXSAC
1348765,20131213DENUTA
