gameid_espn,gameid
400488874,20131029ORLIND
400488875,20131029CHIMIA
400488876,20131029LACLAL
400488877,20131030BKNCLE
400488878,20131030MIAPHI
400488879,20131030BOSTOR
400488880,20131030WASDET
400488881,20131030MILNYK
400488882,20131030CHAHOU
400488883,20131030ORLMIN
400488884,20131030INDNOP
400488885,20131030ATLDAL
400488886,20131030MEMSAS
400488887,20131030OKCUTA
400488888,20131030PORPHX
400488889,20131030DENSAC
400488890,20131030LALGSW
400488891,20131031NYKCHI
400488892,20131031GSWLAC
400488893,20131101CLECHA
400488894,20131101NOPORL
400488895,20131101PHIWAS
400488896,20131101TORATL
400488897,20131101MILBOS
400488898,20131101DALHOU
400488899,20131101DETMEM
400488900,20131101OKCMIN
400488901,20131101MIABKN
400488902,20131101PORDEN
400488903,20131101UTAPHX
400488904,20131101LACSAC
400488905,20131101SASLAL
400488906,20131102CLEIND
400488907,20131102CHIPHI
400488908,20131102CHANOP
400488909,20131102MEMDAL
400488910,20131102TORMIL
400488911,20131102HOUUTA
400488912,20131102SASPOR
400488913,20131102SACGSW
400488914,20131103BOSDET
400488915,20131103WASMIA
400488916,20131103BKNORL
400488917,20131103PHXOKC
400488918,20131103MINNYK
400488919,20131103ATLLAL
400488920,20131104MINCLE
400488921,20131104GSWPHI
400488922,20131104BOSMEM
400488923,20131104HOULAC
400488924,20131105MIATOR
400488925,20131105UTABKN
400488926,20131105INDDET
400488927,20131105CHANYK
400488928,20131105PHXNOP
400488929,20131105LALDAL
400488930,20131105SASDEN
400488931,20131105HOUPOR
400488932,20131105ATLSAC
400488933,20131106TORCHA
400488934,20131106CHIIND
400488935,20131106LACORL
400488936,20131106WASPHI
400488937,20131106UTABOS
400488938,20131106NOPMEM
400488939,20131106CLEMIL
400488940,20131106GSWMIN
400488941,20131106PHXSAS
400488942,20131106DALOKC
400488943,20131107LACMIA
400488944,20131107ATLDEN
400488945,20131107LALHOU
400488946,20131108NYKCHA
400488947,20131108TORIND
400488948,20131108BOSORL
400488949,20131108CLEPHI
400488950,20131108BKNWAS
400488951,20131108OKCDET
400488952,20131108UTACHI
400488953,20131108DALMIN
400488954,20131108LALNOP
400488955,20131108GSWSAS
400488956,20131108DENPHX
400488957,20131108SACPOR
400488958,20131109UTATOR
400488959,20131109ORLATL
400488960,20131109INDBKN
400488961,20131109PHICLE
400488962,20131109BOSMIA
400488963,20131109LACHOU
400488964,20131109GSWMEM
400488965,20131109DALMIL
400488966,20131109PORSAC
400488967,20131110SASNYK
400488968,20131110WASOKC
400488969,20131110NOPPHX
400488970,20131110MINLAL
400488971,20131111ATLCHA
400488972,20131111MEMIND
400488973,20131111SASPHI
400488974,20131111ORLBOS
400488975,20131111CLECHI
400488976,20131111TORHOU
400488977,20131111DENUTA
400488978,20131111DETPOR
400488979,20131111MINLAC
400488980,20131112MILMIA
400488981,20131112WASDAL
400488982,20131112DETGSW
400488983,20131112NOPLAL
400488984,20131113MILORL
400488985,20131113HOUPHI
400488986,20131113CHABOS
400488987,20131113TORMEM
400488988,20131113CLEMIN
400488989,20131113NYKATL
400488990,20131113WASSAS
400488991,20131113LALDEN
400488992,20131113NOPUTA
400488993,20131113PHXPOR
400488994,20131113BKNSAC
400488995,20131113OKCLAC
400488996,20131114HOUNYK
400488997,20131114OKCGSW
400488998,20131115MILIND
400488999,20131115CHITOR
400489000,20131115PHIATL
400489001,20131115PORBOS
400489002,20131115CHACLE
400489003,20131115DALMIA
400489004,20131115MINDEN
400489005,20131115BKNPHX
400489006,20131115SASUTA
400489007,20131115MEMLAL
400489008,20131115DETSAC
400489009,20131116MIACHA
400489010,20131116DALORL
400489011,20131116CLEWAS
400489012,20131116ATLNYK
400489013,20131116INDCHI
400489014,20131116DENHOU
400489015,20131116BOSMIN
400489016,20131116PHINOP
400489017,20131116OKCMIL
400489018,20131116UTAGSW
400489019,20131116BKNLAC
400489020,20131117PORTOR
400489021,20131117MEMSAC
400489022,20131117DETLAL
400489023,20131118PORBKN
400489024,20131118CHACHI
400489025,20131118DENOKC
400489026,20131118PHIDAL
400489027,20131118GSWUTA
400489028,20131118MEMLAC
400489029,20131119MINWAS
400489030,20131119NYKDET
400489031,20131119ATLMIA
400489032,20131119BOSHOU
400489033,20131119PHXSAC
400489034,20131120BKNCHA
400489035,20131120WASCLE
400489036,20131120INDNYK
400489037,20131120MIAORL
400489038,20131120TORPHI
400489039,20131120DETATL
400489040,20131120PORMIL
400489041,20131120LACMIN
400489042,20131120UTANOP
400489043,20131120BOSSAS
400489044,20131120SACPHX
400489045,20131120HOUDAL
400489046,20131120MEMGSW
400489047,20131121LACOKC
400489048,20131121CHIDEN
400489049,20131122PHXCHA
400489050,20131122MILPHI
400489051,20131122WASTOR
400489052,20131122INDBOS
400489053,20131122ATLDET
400489054,20131122SASMEM
400489055,20131122BKNMIN
400489056,20131122CLENOP
400489057,20131122UTADAL
400489058,20131122CHIPOR
400489059,20131122GSWLAL
400489060,20131123SACLAC
400489061,20131123PHIIND
400489062,20131123NYKWAS
400489063,20131123BOSATL
400489064,20131123ORLMIA
400489065,20131123MINHOU
400489066,20131123CHAMIL
400489067,20131123CLESAS
400489068,20131123DALDEN
400489069,20131123PORGSW
400489070,20131124DETBKN
400489071,20131124CHILAC
400489072,20131124PHXORL
400489073,20131124UTAOKC
400489074,20131124SACLAL
400489075,20131125BOSCHA
400489076,20131125MININD
400489077,20131125MILDET
400489078,20131125PHXMIA
400489079,20131125HOUMEM
400489080,20131125DENDAL
400489081,20131125NOPSAS
400489082,20131125CHIUTA
400489083,20131125NYKPOR
400489084,20131126BKNTOR
400489085,20131126LALWAS
400489086,20131126ORLATL
400489087,20131126GSWNOP
400489088,20131127INDCHA
400489089,20131127PHIORL
400489090,20131127MEMBOS
400489091,20131127LALBKN
400489092,20131127MIACLE
400489093,20131127CHIDET
400489094,20131127ATLHOU
400489095,20131127WASMIL
400489096,20131127DENMIN
400489097,20131127SASOKC
400489098,20131127GSWDAL
