gameid,away,home,nprds
20141028ORLNOP,ORL,NOP,4
20141028DALSAS,DAL,SAS,4
20141028HOULAL,HOU,LAL,4
20141029MILCHA,MIL,CHA,5
20141029PHIIND,PHI,IND,4
20141029BKNBOS,BKN,BOS,4
20141029WASMIA,WAS,MIA,4
20141029ATLTOR,ATL,TOR,4
20141029MINMEM,MIN,MEM,4
20141029CHINYK,CHI,NYK,4
20141029DETDEN,DET,DEN,4
20141029HOUUTA,HOU,UTA,4
20141029LALPHX,LAL,PHX,4
20141029GSWSAC,GSW,SAC,4
20141029OKCPOR,OKC,POR,4
20141030WASORL,WAS,ORL,4
20141030DETMIN,DET,MIN,4
20141030NYKCLE,NYK,CLE,4
20141030UTADAL,UTA,DAL,4
20141030OKCLAC,OKC,LAC,4
20141031MEMIND,MEM,IND,4
20141031CLECHI,CLE,CHI,5
20141031PHIMIL,PHI,MIL,4
20141031SASPHX,SAS,PHX,4
20141031PORSAC,POR,SAC,4
20141031LACLAL,LAC,LAL,4
20141101DALNOP,DAL,NOP,4
20141101MEMCHA,MEM,CHA,4
20141101TORORL,TOR,ORL,4
20141101MIAPHI,MIA,PHI,4
20141101MILWAS,MIL,WAS,4
20141101INDATL,IND,ATL,4
20141101BKNDET,BKN,DET,4
20141101BOSHOU,BOS,HOU,4
20141101CHIMIN,CHI,MIN,4
20141101DENOKC,DEN,OKC,4
20141101PHXUTA,PHX,UTA,4
20141101LALGSW,LAL,GSW,4
20141102SACLAC,SAC,LAC,4
20141102TORMIA,TOR,MIA,4
20141102CHANYK,CHA,NYK,4
20141102GSWPOR,GSW,POR,4
20141103HOUPHI,HOU,PHI,4
20141103OKCBKN,OKC,BKN,4
20141103NOPMEM,NOP,MEM,4
20141103BOSDAL,BOS,DAL,4
20141103SACDEN,SAC,DEN,4
20141103UTALAC,UTA,LAC,4
20141104MILIND,MIL,IND,4
20141104HOUMIA,HOU,MIA,4
20141104WASNYK,WAS,NYK,4
20141104OKCTOR,OKC,TOR,4
20141104ORLCHI,ORL,CHI,4
20141104CHANOP,CHA,NOP,4
20141104CLEPOR,CLE,POR,4
20141104PHXLAL,PHX,LAL,4
20141105MIACHA,MIA,CHA,4
20141105ORLPHI,ORL,PHI,4
20141105TORBOS,TOR,BOS,4
20141105MINBKN,MIN,BKN,4
20141105NYKDET,NYK,DET,4
20141105CHIMIL,CHI,MIL,4
20141105INDWAS,IND,WAS,5
20141105ATLSAS,ATL,SAS,4
20141105MEMPHX,MEM,PHX,4
20141105CLEUTA,CLE,UTA,4
20141105DENSAC,DEN,SAC,4
20141105LACGSW,LAC,GSW,4
20141106SASHOU,SAS,HOU,4
20141106DALPOR,DAL,POR,4
20141107ATLCHA,ATL,CHA,6
20141107MINORL,MIN,ORL,5
20141107CHIPHI,CHI,PHI,4
20141107INDBOS,IND,BOS,4
20141107NYKBKN,NYK,BKN,4
20141107MILDET,MIL,DET,4
20141107WASTOR,WAS,TOR,4
20141107MEMOKC,MEM,OKC,4
20141107SACPHX,SAC,PHX,6
20141107DALUTA,DAL,UTA,4
20141107CLEDEN,CLE,DEN,4
20141108PORLAC,POR,LAC,4
20141108WASIND,WAS,IND,4
20141108NYKATL,NYK,ATL,4
20141108MINMIA,MIN,MIA,4
20141108BOSCHI,BOS,CHI,4
20141108GSWHOU,GSW,HOU,4
20141108MEMMIL,MEM,MIL,4
20141108NOPSAS,NOP,SAS,4
20141109ORLBKN,ORL,BKN,4
20141109UTADET,UTA,DET,4
20141109SACOKC,SAC,OKC,4
20141109PHITOR,PHI,TOR,4
20141109MIADAL,MIA,DAL,4
20141109GSWPHX,GSW,PHX,4
20141109DENPOR,DEN,POR,4
20141109CHALAL,CHA,LAL,4
20141110NOPCLE,NOP,CLE,4
20141110UTAIND,UTA,IND,4
20141110ATLNYK,ATL,NYK,4
20141110DETCHI,DET,CHI,4
20141110SASLAC,SAS,LAC,4
20141111ORLTOR,ORL,TOR,4
20141111LALMEM,LAL,MEM,4
20141111OKCMIL,OKC,MIL,4
20141111SACDAL,SAC,DAL,4
20141111CHAPOR,CHA,POR,4
20141111SASGSW,SAS,GSW,4
20141112DETWAS,DET,WAS,4
20141112UTAATL,UTA,ATL,4
20141112OKCBOS,OKC,BOS,4
20141112INDMIA,IND,MIA,4
20141112ORLNYK,ORL,NYK,4
20141112LALNOP,LAL,NOP,4
20141112PORDEN,POR,DEN,4
20141112BKNPHX,BKN,PHX,4
20141112HOUMIN,HOU,MIN,4
20141113SACMEM,SAC,MEM,4
20141113CHITOR,CHI,TOR,4
20141113PHIDAL,PHI,DAL,4
20141113BKNGSW,BKN,GSW,4
20141114DENIND,DEN,IND,4
20141114MILORL,MIL,ORL,4
20141114MIAATL,MIA,ATL,4
20141114CLEBOS,CLE,BOS,4
20141114UTANYK,UTA,NYK,4
20141114PHIHOU,PHI,HOU,4
20141114MINNOP,MIN,NOP,4
20141114DETOKC,DET,OKC,5
20141114CHAPHX,CHA,PHX,4
20141114SASLAL,SAS,LAL,4
20141115ORLWAS,ORL,WAS,4
20141115ATLCLE,ATL,CLE,4
20141115UTATOR,UTA,TOR,4
20141115INDCHI,IND,CHI,4
20141115DETMEM,DET,MEM,4
20141115MINDAL,MIN,DAL,4
20141115BKNPOR,BKN,POR,4
20141115SASSAC,SAS,SAC,4
20141115CHAGSW,CHA,GSW,4
20141115PHXLAC,PHX,LAC,4
20141116DENNYK,DEN,NYK,4
20141116MILMIA,MIL,MIA,4
20141116HOUOKC,HOU,OKC,4
20141116GSWLAL,GSW,LAL,4
20141117DALCHA,DAL,CHA,4
20141117DENCLE,DEN,CLE,4
20141117PHXBOS,PHX,BOS,4
20141117MIABKN,MIA,BKN,4
