gameid_num,gameid,away,home
0021400001,20141028ORLNOP,ORL,NOP
0021400002,20141028DALSAS,DAL,SAS
0021400003,20141028HOULAL,HOU,LAL
0021400004,20141029MILCHA,MIL,CHA
0021400005,20141029PHIIND,PHI,IND
0021400006,20141029BKNBOS,BKN,BOS
0021400007,20141029WASMIA,WAS,MIA
0021400008,20141029ATLTOR,ATL,TOR
0021400009,20141029MINMEM,MIN,MEM
0021400010,20141029CHINYK,CHI,NYK
0021400011,20141029DETDEN,DET,DEN
0021400012,20141029HOUUTA,HOU,UTA
0021400013,20141029LALPHX,LAL,PHX
0021400014,20141029GSWSAC,GSW,SAC
0021400015,20141029OKCPOR,OKC,POR
0021400016,20141030WASORL,WAS,ORL
0021400017,20141030DETMIN,DET,MIN
0021400018,20141030NYKCLE,NYK,CLE
0021400019,20141030UTADAL,UTA,DAL
0021400020,20141030OKCLAC,OKC,LAC
0021400021,20141031MEMIND,MEM,IND
0021400022,20141031CLECHI,CLE,CHI
0021400023,20141031PHIMIL,PHI,MIL
0021400024,20141031SASPHX,SAS,PHX
0021400025,20141031PORSAC,POR,SAC
0021400026,20141031LACLAL,LAC,LAL
0021400027,20141101DALNOP,DAL,NOP
0021400028,20141101MEMCHA,MEM,CHA
0021400029,20141101TORORL,TOR,ORL
0021400030,20141101MIAPHI,MIA,PHI
0021400031,20141101MILWAS,MIL,WAS
0021400032,20141101INDATL,IND,ATL
0021400033,20141101BKNDET,BKN,DET
0021400034,20141101BOSHOU,BOS,HOU
0021400035,20141101CHIMIN,CHI,MIN
0021400036,20141101DENOKC,DEN,OKC
0021400037,20141101PHXUTA,PHX,UTA
0021400038,20141101LALGSW,LAL,GSW
0021400039,20141102SACLAC,SAC,LAC
0021400040,20141102TORMIA,TOR,MIA
0021400041,20141102CHANYK,CHA,NYK
0021400042,20141102GSWPOR,GSW,POR
0021400043,20141103HOUPHI,HOU,PHI
0021400044,20141103OKCBKN,OKC,BKN
0021400045,20141103NOPMEM,NOP,MEM
0021400046,20141103BOSDAL,BOS,DAL
0021400047,20141103SACDEN,SAC,DEN
0021400048,20141103UTALAC,UTA,LAC
0021400049,20141104MILIND,MIL,IND
0021400050,20141104HOUMIA,HOU,MIA
0021400051,20141104WASNYK,WAS,NYK
