gameid_num,seasonid,gameid,away,home
0029600001,00296,19961101CHIBOS,CHI,BOS
0029600002,00296,19961101CLENJN,CLE,NJN
0029600003,00296,19961101MILPHI,MIL,PHI
0029600004,00296,19961101WASORL,WAS,ORL
0029600005,00296,19961101ATLMIA,ATL,MIA
0029600006,00296,19961101NYKTOR,NYK,TOR
0029600007,00296,19961101INDDET,IND,DET
0029600008,00296,19961101SASMIN,SAS,MIN
0029600009,00296,19961101SACHOU,SAC,HOU
0029600010,00296,19961101DALDEN,DAL,DEN
0029600011,00296,19961101SEAUTA,SEA,UTA
0029600012,00296,19961101PHXLAL,PHX,LAL
0029600013,00296,19961101LACGSW,LAC,GSW
0029600014,00296,19961101PORVAN,POR,VAN
0029600015,00296,19961102CLEWAS,CLE,WAS
0029600016,00296,19961102TORCHH,TOR,CHH
0029600017,00296,19961102DETATL,DET,ATL
0029600018,00296,19961102MIAIND,MIA,IND
0029600019,00296,19961102PHICHI,PHI,CHI
0029600020,00296,19961102BOSMIL,BOS,MIL
0029600021,00296,19961102SACDAL,SAC,DAL
0029600022,00296,19961102HOUPHX,HOU,PHX
0029600023,00296,19961102UTALAC,UTA,LAC
0029600024,00296,19961102PORSEA,POR,SEA
0029600025,00296,19961103CHHNYK,CHH,NYK
0029600026,00296,19961103DENSAS,DEN,SAS
0029600027,00296,19961103MINLAL,MIN,LAL
0029600028,00296,19961103GSWVAN,GSW,VAN
0029600029,00296,19961104HOUUTA,HOU,UTA
0029600030,00296,19961104ATLPOR,ATL,POR
0029600031,00296,19961105LALNYK,LAL,NYK
0029600032,00296,19961105DETPHI,DET,PHI
0029600033,00296,19961105DALTOR,DAL,TOR
0029600034,00296,19961105SASCLE,SAS,CLE
0029600035,00296,19961105VANCHI,VAN,CHI
0029600036,00296,19961105LACDEN,LAC,DEN
0029600037,00296,19961105MINPHX,MIN,PHX
0029600038,00296,19961105PORGSW,POR,GSW
0029600039,00296,19961105HOUSAC,HOU,SAC
0029600040,00296,19961105ATLSEA,ATL,SEA
0029600041,00296,19961106INDBOS,IND,BOS
0029600042,00296,19961106SASWAS,SAS,WAS
0029600043,00296,19961106CHIMIA,CHI,MIA
0029600044,00296,19961106LALCHH,LAL,CHH
0029600045,00296,19961106DALDET,DAL,DET
0029600046,00296,19961106VANMIL,VAN,MIL
0029600047,00296,19961107ORLNJN,ORL,NJN
0029600048,00296,19961107HOUDEN,HOU,DEN
0029600049,00296,19961107SEAPHX,SEA,PHX
0029600050,00296,19961107NYKGSW,NYK,GSW
0029600051,00296,19961107ATLSAC,ATL,SAC
0029600052,00296,19961107MINPOR,MIN,POR
0029600053,00296,19961108PHIBOS,PHI,BOS
0029600054,00296,19961108CHHWAS,CHH,WAS
0029600055,00296,19961108NJNORL,NJN,ORL
0029600056,00296,19961108MILMIA,MIL,MIA
