gameid,away,home
20091027BOSCLE,BOS,CLE
20091027WASDAL,WAS,DAL
20091027LACLAL,LAC,LAL
20091027HOUPOR,HOU,POR
20091028INDATL,IND,ATL
20091028CHABOS,CHA,BOS
20091028UTADEN,UTA,DEN
20091028HOUGSW,HOU,GSW
20091028PHOLAC,PHO,LAC
20091028DETMEM,DET,MEM
20091028NYKMIA,NYK,MIA
20091028NJNMIN,NJN,MIN
20091028SACOKC,SAC,OKC
20091028PHIORL,PHI,ORL
20091028NOHSAS,NOH,SAS
20091028CLETOR,CLE,TOR
20091029SASCHI,SAS,CHI
20091029DENPOR,DEN,POR
20091030WASATL,WAS,ATL
20091030CHIBOS,CHI,BOS
20091030NYKCHA,NYK,CHA
20091030OKCDET,OKC,DET
20091030MIAIND,MIA,IND
20091030DALLAL,DAL,LAL
20091030TORMEM,TOR,MEM
20091030CLEMIN,CLE,MIN
20091030ORLNJN,ORL,NJN
20091030SACNOH,SAC,NOH
20091030MILPHI,MIL,PHI
20091030GSWPHO,GSW,PHO
20091030LACUTA,LAC,UTA
20091031CHACLE,CHA,CLE
20091031PORHOU,POR,HOU
20091031DALLAC,DAL,LAC
20091031DETMIL,DET,MIL
20091031PHINYK,PHI,NYK
20091031SACSAS,SAC,SAS
20091031NJNWAS,NJN,WAS
20091101NOHBOS,NOH,BOS
20091101MEMDEN,MEM,DEN
20091101ATLLAL,ATL,LAL
20091101CHIMIA,CHI,MIA
20091101POROKC,POR,OKC
20091101MINPHO,MIN,PHO
20091101ORLTOR,ORL,TOR
20091102NJNCHA,NJN,CHA
20091102MINLAC,MIN,LAC
20091102NOHNYK,NOH,NYK
20091102MEMSAC,MEM,SAC
20091102HOUUTA,HOU,UTA
20091103MILCHI,MIL,CHI
20091103WASCLE,WAS,CLE
20091103UTADAL,UTA,DAL
20091103ORLDET,ORL,DET
20091103DENIND,DEN,IND
20091103PHOMIA,PHO,MIA
20091103LALOKC,LAL,OKC
20091103BOSPHI,BOS,PHI
