gameid_num,gameid,away,home
0021401073,20150326INDMIL,IND,MIL
0021401074,20150327DETORL,DET,ORL
0021401075,20150327LACPHI,LAC,PHI
0021401076,20150327CHAWAS,CHA,WAS
0021401077,20150327MIAATL,MIA,ATL
0021401078,20150327CLEBKN,CLE,BKN
0021401079,20150327BOSNYK,BOS,NYK
0021401080,20150327LALTOR,LAL,TOR
0021401081,20150327MINHOU,MIN,HOU
0021401082,20150327GSWMEM,GSW,MEM
0021401083,20150327SACNOP,SAC,NOP
0021401084,20150327DALSAS,DAL,SAS
0021401085,20150327UTADEN,UTA,DEN
0021401086,20150327PORPHX,POR,PHX
0021401087,20150328ATLCHA,ATL,CHA
0021401088,20150328NYKCHI,NYK,CHI
0021401089,20150328GSWMIL,GSW,MIL
0021401090,20150328OKCUTA,OKC,UTA
0021401091,20150328DENPOR,DEN,POR
0021401092,20150329PHICLE,PHI,CLE
0021401093,20150329LALBKN,LAL,BKN
0021401094,20150329MINNOP,MIN,NOP
0021401095,20150329LACBOS,LAC,BOS
0021401096,20150329DETMIA,DET,MIA
0021401097,20150329HOUWAS,HOU,WAS
0021401098,20150329MEMSAS,MEM,SAS
0021401099,20150329DALIND,DAL,IND
0021401100,20150329OKCPHX,OKC,PHX
