gameid,season,away,home
20091027BOSCLE,2009,BOS,CLE
20091027WASDAL,2009,WAS,DAL
20091027LACLAL,2009,LAC,LAL
20091027HOUPOR,2009,HOU,POR
20091028INDATL,2009,IND,ATL
20091028CHABOS,2009,CHA,BOS
20091028UTADEN,2009,UTA,DEN
20091028HOUGSW,2009,HOU,GSW
20091028PHXLAC,2009,PHX,LAC
20091028DETMEM,2009,DET,MEM
20091028NYKMIA,2009,NYK,MIA
20091028NJNMIN,2009,NJN,MIN
20091028SACOKC,2009,SAC,OKC
20091028PHIORL,2009,PHI,ORL
20091028NOHSAS,2009,NOH,SAS
20091028CLETOR,2009,CLE,TOR
20091029SASCHI,2009,SAS,CHI
20091029DENPOR,2009,DEN,POR
20091030WASATL,2009,WAS,ATL
20091030CHIBOS,2009,CHI,BOS
20091030NYKCHA,2009,NYK,CHA
20091030OKCDET,2009,OKC,DET
20091030MIAIND,2009,MIA,IND
20091030DALLAL,2009,DAL,LAL
20091030TORMEM,2009,TOR,MEM
20091030CLEMIN,2009,CLE,MIN
20091030ORLNJN,2009,ORL,NJN
20091030SACNOH,2009,SAC,NOH
20091030MILPHI,2009,MIL,PHI
20091030GSWPHX,2009,GSW,PHX
20091030LACUTA,2009,LAC,UTA
20091031CHACLE,2009,CHA,CLE
20091031PORHOU,2009,POR,HOU
20091031DALLAC,2009,DAL,LAC
20091031DETMIL,2009,DET,MIL
20091031PHINYK,2009,PHI,NYK
20091031SACSAS,2009,SAC,SAS
20091031NJNWAS,2009,NJN,WAS
20091101NOHBOS,2009,NOH,BOS
20091101MEMDEN,2009,MEM,DEN
20091101ATLLAL,2009,ATL,LAL
20091101CHIMIA,2009,CHI,MIA
20091101POROKC,2009,POR,OKC
20091101MINPHX,2009,MIN,PHX
20091101ORLTOR,2009,ORL,TOR
20091102NJNCHA,2009,NJN,CHA
20091102MINLAC,2009,MIN,LAC
20091102NOHNYK,2009,NOH,NYK
20091102MEMSAC,2009,MEM,SAC
20091102HOUUTA,2009,HOU,UTA
20091103MILCHI,2009,MIL,CHI
20091103WASCLE,2009,WAS,CLE
20091103UTADAL,2009,UTA,DAL
20091103ORLDET,2009,ORL,DET
