gameid,season,away,home
20051101SACNOK,2005,SAC,NOK
20051101MILPHI,2005,MIL,PHI
20051101DALPHX,2005,DAL,PHX
20051101DENSAS,2005,DEN,SAS
20051102NYKBOS,2005,NYK,BOS
20051102CHACHI,2005,CHA,CHI
20051102NOKCLE,2005,NOK,CLE
20051102LALDEN,2005,LAL,DEN
20051102PHIDET,2005,PHI,DET
20051102ATLGSW,2005,ATL,GSW
20051102SACHOU,2005,SAC,HOU
20051102MIAMEM,2005,MIA,MEM
20051102PORMIN,2005,POR,MIN
20051102MILNJN,2005,MIL,NJN
20051102INDORL,2005,IND,ORL
20051102LACSEA,2005,LAC,SEA
20051102WASTOR,2005,WAS,TOR
20051102DALUTA,2005,DAL,UTA
20051103PHXLAL,2005,PHX,LAL
20051103INDMIA,2005,IND,MIA
20051104DETBOS,2005,DET,BOS
20051104PORDEN,2005,POR,DEN
20051104UTAGSW,2005,UTA,GSW
20051104ATLLAC,2005,ATL,LAC
20051104WASNYK,2005,WAS,NYK
20051104MEMORL,2005,MEM,ORL
20051104CHAPHI,2005,CHA,PHI
20051104CLESAS,2005,CLE,SAS
20051104MINSEA,2005,MIN,SEA
20051104NJNTOR,2005,NJN,TOR
20051105BOSCHA,2005,BOS,CHA
20051105SASDAL,2005,SAS,DAL
20051105TORDET,2005,TOR,DET
20051105NOKHOU,2005,NOK,HOU
20051105PHIIND,2005,PHI,IND
20051105MINLAC,2005,MIN,LAC
20051105CLEMEM,2005,CLE,MEM
20051105MIAMIL,2005,MIA,MIL
20051105CHINJN,2005,CHI,NJN
20051105ATLPOR,2005,ATL,POR
20051105PHXUTA,2005,PHX,UTA
20051105ORLWAS,2005,ORL,WAS
20051106DENLAL,2005,DEN,LAL
20051106GSWNYK,2005,GSW,NYK
20051106SACPHX,2005,SAC,PHX
20051107UTACHA,2005,UTA,CHA
20051107SASCHI,2005,SAS,CHI
20051107NJNMIA,2005,NJN,MIA
20051107LACMIN,2005,LAC,MIN
20051107CLETOR,2005,CLE,TOR
20051108LALATL,2005,LAL,ATL
20051108ORLHOU,2005,ORL,HOU
20051108SEAMEM,2005,SEA,MEM
20051108GSWMIL,2005,GSW,MIL
20051108DETSAC,2005,DET,SAC
20051109MEMBOS,2005,MEM,BOS
20051109SASCHA,2005,SAS,CHA
20051109GSWCHI,2005,GSW,CHI
20051109SEACLE,2005,SEA,CLE
20051109SACDEN,2005,SAC,DEN
20051109MIAIND,2005,MIA,IND
20051109LALMIN,2005,LAL,MIN
20051109UTANJN,2005,UTA,NJN
20051109ORLNOK,2005,ORL,NOK
20051109DALPHI,2005,DAL,PHI
20051109NYKPOR,2005,NYK,POR
20051109LACWAS,2005,LAC,WAS
20051110LACATL,2005,LAC,ATL
20051110HOUMIA,2005,HOU,MIA
20051110DETPHX,2005,DET,PHX
20051111SASBOS,2005,SAS,BOS
20051111DALCHA,2005,DAL,CHA
20051111MEMCLE,2005,MEM,CLE
20051111NYKGSW,2005,NYK,GSW
20051111NJNIND,2005,NJN,IND
20051111LALPHI,2005,LAL,PHI
20051111DETPOR,2005,DET,POR
20051111DENSAC,2005,DEN,SAC
20051111UTATOR,2005,UTA,TOR
20051111SEAWAS,2005,SEA,WAS
20051112MEMATL,2005,MEM,ATL
20051112UTACHI,2005,UTA,CHI
20051112CHAMIA,2005,CHA,MIA
20051112INDMIL,2005,IND,MIL
20051112HOUNJN,2005,HOU,NJN
20051112DALNOK,2005,DAL,NOK
20051112GSWPHX,2005,GSW,PHX
20051112SASWAS,2005,SAS,WAS
20051113HOUBOS,2005,HOU,BOS
20051113MINDEN,2005,MIN,DEN
20051113CLEORL,2005,CLE,ORL
20051113LACPHI,2005,LAC,PHI
20051113NYKSAC,2005,NYK,SAC
20051113SEATOR,2005,SEA,TOR
20051114CHIGSW,2005,CHI,GSW
20051114LALMEM,2005,LAL,MEM
20051114NYKUTA,2005,NYK,UTA
20051115WASCLE,2005,WAS,CLE
20051115DENDAL,2005,DEN,DAL
20051115BOSDET,2005,BOS,DET
20051115MILLAC,2005,MIL,LAC
20051115NOKMIA,2005,NOK,MIA
20051115HOUMIN,2005,HOU,MIN
20051115SEANJN,2005,SEA,NJN
20051115CHAORL,2005,CHA,ORL
20051115TORPHI,2005,TOR,PHI
20051115UTASAC,2005,UTA,SAC
20051115ATLSAS,2005,ATL,SAS
20051116SEABOS,2005,SEA,BOS
20051116INDCHA,2005,IND,CHA
20051116MILGSW,2005,MIL,GSW
20051116NYKLAL,2005,NYK,LAL
20051116DENNOK,2005,DEN,NOK
20051116MEMPHX,2005,MEM,PHX
20051116CHIPOR,2005,CHI,POR
20051116PHITOR,2005,PHI,TOR
20051117ATLDAL,2005,ATL,DAL
20051117WASMIN,2005,WAS,MIN
20051117HOUSAS,2005,HOU,SAS
20051118TORBOS,2005,TOR,BOS
20051118ORLCLE,2005,ORL,CLE
20051118NYKDEN,2005,NYK,DEN
20051118DETHOU,2005,DET,HOU
20051118CHAIND,2005,CHA,IND
20051118LACLAL,2005,LAC,LAL
20051118PHIMIA,2005,PHI,MIA
20051118ATLNOK,2005,ATL,NOK
20051118UTAPHX,2005,UTA,PHX
20051118GSWPOR,2005,GSW,POR
20051118MILSAC,2005,MIL,SAC
20051118CHISEA,2005,CHI,SEA
20051119DETDAL,2005,DET,DAL
20051119CHAMIN,2005,CHA,MIN
20051119WASNJN,2005,WAS,NJN
20051119NOKORL,2005,NOK,ORL
20051119CLEPHI,2005,CLE,PHI
20051119PHXSAS,2005,PHX,SAS
20051119MEMUTA,2005,MEM,UTA
20051120MEMDEN,2005,MEM,DEN
20051120HOUIND,2005,HOU,IND
20051120GSWLAC,2005,GSW,LAC
20051120CHILAL,2005,CHI,LAL
20051120PORNYK,2005,POR,NYK
20051120SACSEA,2005,SAC,SEA
20051120MIATOR,2005,MIA,TOR
20051121NJNGSW,2005,NJN,GSW
20051121NOKPHI,2005,NOK,PHI
