Season,Team,TeamCode,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Playoffs
1979,Atlanta Hawks,ATL,82,19780,3144,6872,.458,46,183,.251,3098,6689,.463,2000,2616,.765,1261,2339,3600,1758,682,554,1660,2171,8334,101.6,1
1979,Portland Trail Blazers,POR,82,19780,3349,7008,.478,55,186,.296,3294,6822,.483,1716,2281,.752,1138,2358,3496,2008,756,395,1450,1880,8469,103.3,1
1979,Seattle SuperSonics,SEA,82,19830,3408,7424,.459,59,240,.246,3349,7184,.466,1640,2147,.764,1203,2409,3612,2016,728,393,1519,1997,8515,103.8,1
1979,Philadelphia 76ers,PHI,82,19855,3444,7561,.455,75,277,.271,3369,7284,.463,1640,2145,.765,1318,2352,3670,2089,876,388,1561,2100,8603,104.9,1
1979,Kansas City Kings,KCK,82,19805,3328,6992,.476,41,172,.238,3287,6820,.482,1906,2497,.763,1140,2644,3784,1778,695,425,1762,2072,8603,104.9,1
1979,Boston Celtics,BOS,82,19880,3439,7313,.470,74,259,.286,3365,7054,.477,1712,2222,.770,1168,2294,3462,1867,686,419,1635,2059,8664,105.7,1
1979,Milwaukee Bucks,MIL,82,19805,3456,7487,.462,76,305,.249,3380,7182,.471,1714,2275,.753,1360,2293,3653,2154,717,358,1638,1912,8702,106.1,1
1979,Phoenix Suns,PHX,82,19755,3563,7480,.476,100,297,.337,3463,7183,.482,1593,2119,.752,1216,2447,3663,2026,882,389,1663,2051,8819,107.5,1
1979,Golden State Warriors,GSW,82,19880,3438,6975,.493,72,219,.329,3366,6756,.498,1905,2544,.749,1056,2564,3620,2091,720,361,1486,1785,8853,108.0,0
1979,Utah Jazz,UTA,82,19805,3559,7182,.496,67,211,.318,3492,6971,.501,1702,2205,.772,1159,2288,3447,1997,710,398,1274,1782,8887,108.4,0
1979,Los Angeles Lakers,LAL,82,19880,3723,7921,.470,78,274,.285,3645,7647,.477,1430,1884,.759,1312,2242,3554,2324,797,382,1420,1860,8954,109.2,1
1979,Washington Bullets,WSB,82,19880,3615,7771,.465,56,214,.262,3559,7557,.471,1696,2184,.777,1197,2672,3869,2120,734,519,1222,1901,8982,109.5,1
1979,New Jersey Nets,NJN,82,19805,3480,7427,.469,58,208,.279,3422,7219,.474,1957,2572,.761,1285,2596,3881,2189,849,514,1692,2042,8975,109.5,0
1979,Chicago Bulls,CHI,82,19905,3585,7222,.496,54,199,.271,3531,7023,.503,1811,2358,.768,1159,2345,3504,2109,846,498,1543,2203,9035,110.2,0
1979,Houston Rockets,HOU,82,19930,3658,7382,.496,58,215,.270,3600,7167,.502,1696,2153,.788,1290,2317,3607,2223,778,428,1597,2049,9070,110.6,1
1979,San Diego Clippers,SDC,82,19755,3752,7508,.500,43,187,.230,3709,7321,.507,1613,2086,.773,1222,2487,3709,2012,764,408,1391,1889,9160,111.7,0
1979,Indiana Pacers,IND,82,19855,3693,7545,.489,56,228,.246,3637,7317,.497,1734,2295,.756,1394,2552,3946,2323,738,470,1758,2028,9176,111.9,0
1979,Denver Nuggets,DEN,82,19830,3736,7591,.492,70,214,.327,3666,7377,.497,1698,2235,.760,1197,2587,3784,2289,812,455,1438,2033,9240,112.7,0
1979,Cleveland Cavaliers,CLE,82,19930,3811,7610,.501,65,223,.291,3746,7387,.507,1645,2150,.765,1230,2638,3868,2208,708,490,1667,2033,9332,113.8,0
1979,New York Knicks,NYK,82,19780,3707,7492,.495,55,198,.278,3652,7294,.501,1969,2556,.770,1293,2432,3725,2143,813,390,1694,2042,9438,115.1,0
1979,Detroit Pistons,DET,82,19780,3847,7761,.496,57,206,.277,3790,7555,.502,1858,2405,.773,1319,2572,3891,2306,874,470,1583,1871,9609,117.2,0
1979,San Antonio Spurs,SAS,82,19755,4000,7997,.500,88,288,.306,3912,7709,.507,1731,2283,.758,1248,2472,3720,2537,828,457,1513,2192,9819,119.7,1
1979,League Average,AVG,82,19830,3579,7433,.481,64,227,.280,3515,7205,.488,1744,2282,.764,1235,2450,3685,2117,772,435,1553,1998,8965,109.3,0
1980,Philadelphia 76ers,PHI,82,19855,3307,7337,.451,48,200,.240,3259,7137,.457,1850,2487,.744,1286,2287,3573,2033,818,379,1642,2044,8512,103.8,1
1980,Boston Celtics,BOS,82,19780,3372,7296,.462,30,139,.216,3342,7157,.467,1752,2277,.769,1192,2174,3366,1890,736,351,1473,2059,8526,104.0,1
1980,Phoenix Suns,PHX,82,19755,3368,7221,.466,69,209,.330,3299,7012,.470,1762,2383,.739,1160,2284,3444,1970,912,401,1752,2116,8567,104.5,1
1980,Washington Bullets,WSB,82,19780,3518,7491,.470,37,176,.210,3481,7315,.476,1588,2161,.735,1204,2638,3842,2060,739,469,1410,1888,8661,105.6,0
1980,Seattle SuperSonics,SEA,82,19780,3453,7421,.465,42,157,.268,3411,7264,.470,1718,2323,.740,1247,2357,3604,2044,747,387,1348,2044,8666,105.7,0
1980,Milwaukee Bucks,MIL,82,19755,3311,7220,.459,35,199,.176,3276,7021,.467,2023,2701,.749,1265,2209,3474,2033,735,400,1670,2050,8680,105.9,1
1980,Detroit Pistons,DET,82,19755,3499,6869,.509,31,127,.244,3468,6742,.514,1663,2217,.750,1090,2396,3486,2033,793,585,1797,2095,8692,106.0,0
1980,Indiana Pacers,IND,82,19730,3457,7071,.489,41,179,.229,3416,6892,.496,1757,2290,.767,1246,2407,3653,2113,695,439,1655,2064,8712,106.2,1
1980,New York Knicks,NYK,82,19830,3555,7092,.501,43,172,.250,3512,6920,.508,1563,2082,.751,1147,2457,3604,2088,689,452,1660,1994,8716,106.3,1
1980,Kansas City Kings,KCK,82,19830,3424,7117,.481,31,153,.203,3393,6964,.487,1889,2500,.756,1138,2510,3648,1857,717,383,1520,2015,8768,106.9,1
1980,Chicago Bulls,CHI,82,19780,3527,7209,.489,52,223,.233,3475,6986,.497,1669,2211,.755,1145,2096,3241,1950,784,441,1502,2135,8775,107.0,1
1980,Utah Jazz,UTA,82,19730,3430,7018,.489,45,147,.306,3385,6871,.493,1879,2472,.760,1154,2440,3594,1985,596,406,1303,1855,8784,107.1,0
1980,Los Angeles Lakers,LAL,82,19805,3581,7701,.465,42,184,.228,3539,7517,.471,1598,2158,.741,1378,2274,3652,2280,754,357,1473,1869,8802,107.3,1
1980,Houston Rockets,HOU,82,19805,3617,7341,.493,49,171,.287,3568,7170,.498,1568,2108,.744,1177,2367,3544,2191,689,367,1430,1977,8851,107.9,1
1980,Atlanta Hawks,ATL,82,19930,3401,6867,.495,32,152,.211,3369,6715,.502,2024,2641,.766,1207,2318,3525,1935,748,555,1685,2209,8858,108.0,0
1980,San Diego Clippers,SDC,82,19730,3508,6951,.505,33,153,.216,3475,6798,.511,1818,2433,.747,1091,2377,3468,2097,683,392,1553,2006,8867,108.1,0
1980,San Antonio Spurs,SAS,82,19805,3581,7582,.472,45,168,.268,3536,7414,.477,1766,2387,.740,1214,2177,3391,2206,700,481,1422,2198,8973,109.4,1
1980,Portland Trail Blazers,POR,82,19855,3584,7351,.488,34,149,.228,3550,7202,.493,1805,2377,.759,1249,2419,3668,2109,802,422,1575,1932,9007,109.8,1
1980,Dallas Mavericks,DAL,82,19780,3622,7060,.513,36,137,.263,3586,6923,.518,1731,2297,.754,1173,2498,3671,2098,713,480,1433,2187,9011,109.9,0
