gameid_num,gameid,away,home
0041300121,20140419BKNTOR,BKN,TOR
0041300161,20140419GSWLAC,GSW,LAC
0041300101,20140419ATLIND,ATL,IND
0041300151,20140419MEMOKC,MEM,OKC
0041300141,20140420DALSAS,DAL,SAS
0041300111,20140420CHAMIA,CHA,MIA
0041300131,20140420WASCHI,WAS,CHI
0041300171,20140420PORHOU,POR,HOU
0041300152,20140421MEMOKC,MEM,OKC
0041300162,20140421GSWLAC,GSW,LAC
0041300102,20140422ATLIND,ATL,IND
0041300122,20140422BKNTOR,BKN,TOR
0041300132,20140422WASCHI,WAS,CHI
0041300112,20140423CHAMIA,CHA,MIA
0041300142,20140423DALSAS,DAL,SAS
0041300172,20140423PORHOU,POR,HOU
0041300103,20140424INDATL,IND,ATL
0041300153,20140424OKCMEM,OKC,MEM
0041300163,20140424LACGSW,LAC,GSW
0041300123,20140425TORBKN,TOR,BKN
0041300133,20140425CHIWAS,CHI,WAS
0041300173,20140425HOUPOR,HOU,POR
0041300104,20140426INDATL,IND,ATL
0041300143,20140426SASDAL,SAS,DAL
0041300113,20140426MIACHA,MIA,CHA
0041300154,20140426OKCMEM,OKC,MEM
0041300134,20140427CHIWAS,CHI,WAS
0041300164,20140427LACGSW,LAC,GSW
0041300124,20140427TORBKN,TOR,BKN
0041300174,20140427HOUPOR,HOU,POR
0041300114,20140428MIACHA,MIA,CHA
0041300105,20140428ATLIND,ATL,IND
0041300144,20140428SASDAL,SAS,DAL
0041300135,20140429WASCHI,WAS,CHI
0041300155,20140429MEMOKC,MEM,OKC
0041300165,20140429GSWLAC,GSW,LAC
0041300145,20140430DALSAS,DAL,SAS
0041300125,20140430BKNTOR,BKN,TOR
0041300175,20140430PORHOU,POR,HOU
0041300106,20140501INDATL,IND,ATL
0041300156,20140501OKCMEM,OKC,MEM
0041300166,20140501LACGSW,LAC,GSW
0041300126,20140502TORBKN,TOR,BKN
0041300146,20140502SASDAL,SAS,DAL
0041300176,20140502HOUPOR,HOU,POR
0041300107,20140503ATLIND,ATL,IND
0041300157,20140503MEMOKC,MEM,OKC
0041300167,20140503GSWLAC,GSW,LAC
0041300127,20140504BKNTOR,BKN,TOR
0041300147,20140504DALSAS,DAL,SAS
0041300201,20140505WASIND,WAS,IND
0041300231,20140505LACOKC,LAC,OKC
0041300211,20140506BKNMIA,BKN,MIA
0041300221,20140506PORSAS,POR,SAS
0041300202,20140507WASIND,WAS,IND
0041300232,20140507LACOKC,LAC,OKC
0041300212,20140508BKNMIA,BKN,MIA
0041300222,20140508PORSAS,POR,SAS
0041300203,20140509INDWAS,IND,WAS
0041300233,20140509OKCLAC,OKC,LAC
0041300213,20140510MIABKN,MIA,BKN
0041300223,20140510SASPOR,SAS,POR
0041300234,20140511OKCLAC,OKC,LAC
0041300204,20140511INDWAS,IND,WAS
0041300214,20140512MIABKN,MIA,BKN
0041300224,20140512SASPOR,SAS,POR
0041300205,20140513WASIND,WAS,IND
0041300235,20140513LACOKC,LAC,OKC
0041300215,20140514BKNMIA,BKN,MIA
0041300225,20140514PORSAS,POR,SAS
0041300206,20140515INDWAS,IND,WAS
0041300236,20140515OKCLAC,OKC,LAC
0041300301,20140518MIAIND,MIA,IND
0041300311,20140519OKCSAS,OKC,SAS
0041300302,20140520MIAIND,MIA,IND
0041300312,20140521OKCSAS,OKC,SAS
0041300303,20140524INDMIA,IND,MIA
0041300313,20140525SASOKC,SAS,OKC
0041300304,20140526INDMIA,IND,MIA
0041300314,20140527SASOKC,SAS,OKC
0041300305,20140528MIAIND,MIA,IND
0041300315,20140529OKCSAS,OKC,SAS
0041300306,20140530INDMIA,IND,MIA
0041300316,20140531SASOKC,SAS,OKC
0041300401,20140605MIASAS,MIA,SAS
0041300402,20140608MIASAS,MIA,SAS
0041300403,20140610SASMIA,SAS,MIA
0041300404,20140612SASMIA,SAS,MIA
0041300405,20140615MIASAS,MIA,SAS
