gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19791012NYKATL,19791012,NYK,ATL,NYK,25,24,31,24,,,,104
19791012NYKATL,19791012,NYK,ATL,ATL,31,28,29,33,,,,121
19791012HOUBOS,19791012,HOU,BOS,HOU,29,24,27,26,,,,106
19791012HOUBOS,19791012,HOU,BOS,BOS,31,25,34,24,,,,114
19791012INDDET,19791012,IND,DET,IND,24,32,19,30,,,,105
19791012INDDET,19791012,IND,DET,DET,28,30,33,23,,,,114
19791012MILKCK,19791012,MIL,KCK,MIL,31,26,24,22,,,,103
19791012MILKCK,19791012,MIL,KCK,KCK,25,23,31,26,,,,105
19791012CLENJN,19791012,CLE,NJN,CLE,26,24,24,21,,,,95
19791012CLENJN,19791012,CLE,NJN,NJN,21,23,30,28,,,,102
19791012GSWPHO,19791012,GSW,PHO,GSW,23,18,28,20,,,,89
19791012GSWPHO,19791012,GSW,PHO,PHO,28,22,20,27,,,,97
19791012UTAPOR,19791012,UTA,POR,UTA,21,21,20,23,,,,85
19791012UTAPOR,19791012,UTA,POR,POR,25,23,25,28,,,,101
19791012LALSDC,19791012,LAL,SDC,LAL,16,32,26,29,,,,103
19791012LALSDC,19791012,LAL,SDC,SDC,23,29,27,23,,,,102
19791012PHIWSB,19791012,PHI,WSB,PHI,22,22,29,20,,,,93
19791012PHIWSB,19791012,PHI,WSB,WSB,18,26,25,23,,,,92
19791013BOSCLE,19791013,BOS,CLE,BOS,29,39,34,37,,,,139
19791013BOSCLE,19791013,BOS,CLE,CLE,25,32,38,22,,,,117
19791013MILDEN,19791013,MIL,DEN,MIL,30,33,39,23,,,,125
19791013MILDEN,19791013,MIL,DEN,DEN,22,21,28,25,,,,96
19791013CHIGSW,19791013,CHI,GSW,CHI,28,20,21,21,12,,,102
19791013CHIGSW,19791013,CHI,GSW,GSW,25,18,29,18,6,,,96
19791013ATLIND,19791013,ATL,IND,ATL,24,18,25,34,,,,101
19791013ATLIND,19791013,ATL,IND,IND,33,17,32,33,,,,115
19791013WSBNYK,19791013,WSB,NYK,WSB,18,38,23,32,7,,,118
19791013WSBNYK,19791013,WSB,NYK,NYK,33,19,31,28,14,,,125
19791013HOUPHI,19791013,HOU,PHI,HOU,22,26,30,27,,,,105
19791013HOUPHI,19791013,HOU,PHI,PHI,26,28,38,21,,,,113
19791013DETSAS,19791013,DET,SAS,DET,24,29,30,29,,,,112
19791013DETSAS,19791013,DET,SAS,SAS,22,28,30,30,,,,110
19791014CHIPHO,19791014,CHI,PHO,CHI,20,20,25,37,,,,102
19791014CHIPHO,19791014,CHI,PHO,PHO,25,29,33,25,,,,112
19791014DENPOR,19791014,DEN,POR,DEN,22,20,25,26,,,,93
19791014DENPOR,19791014,DEN,POR,POR,26,25,39,19,,,,109
19791014SEASDC,19791014,SEA,SDC,SEA,28,20,22,23,,,,93
