gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19841026WSBCHI,,WSB,CHI,WSB,gus_williams,,,5,15,0,,5,6,,,,,,,,,,,15
19841026WSBCHI,,WSB,CHI,WSB,frank_johnson,,,7,14,0,,1,1,,,,,,,,,,,15
19841026WSBCHI,,WSB,CHI,WSB,rick_mahorn,,,6,13,0,,2,2,,,,12,,,,,,,14
19841026WSBCHI,,WSB,CHI,WSB,jeff_ruland,,,5,9,0,,2,3,,,,,,,,,,,12
19841026WSBCHI,,WSB,CHI,WSB,dudley_bradley,,,5,12,1,,0,2,,,,,10,,,,,,11
19841026WSBCHI,,WSB,CHI,WSB,darren_daye,,,4,8,0,,3,3,,,,,,,,,,,11
19841026WSBCHI,,WSB,CHI,WSB,cliff_robinson,,,3,10,0,,2,2,,,,,,,,,,,8
19841026WSBCHI,,WSB,CHI,WSB,charles_davis,,,1,6,0,,3,4,,,,,,,,,,,5
19841026WSBCHI,,WSB,CHI,WSB,tom_sewell,,,1,2,0,,0,0,,,,,,,,,,,2
19841026WSBCHI,,WSB,CHI,WSB,tom_mcmillen,,,0,1,0,,0,0,,,,,,,,,,,0
19841026WSBCHI,,WSB,CHI,WSB,greg_ballard,,,0,2,0,,0,0,,,,,,,,,,,0
19841026WSBCHI,,WSB,CHI,WSB,total,,240,37,92,1,,18,23,,,,46,24,21,,,,,93
19841026WSBCHI,,WSB,CHI,CHI,orlando_woolridge,,,13,19,0,,2,5,,,,9,,,,,,,28
19841026WSBCHI,,WSB,CHI,CHI,quintin_dailey,,,12,16,0,,1,1,,,,,,,,,,,25
19841026WSBCHI,,WSB,CHI,CHI,steve_johnson,,,9,14,0,,0,1,,,,9,,,,,,,18
19841026WSBCHI,,WSB,CHI,CHI,michael_jordan,,,5,16,0,,6,7,,,,6,7,,,,,,16
19841026WSBCHI,,WSB,CHI,CHI,ennis_whatley,,,5,8,0,,1,1,,,,,10,,,,,,11
19841026WSBCHI,,WSB,CHI,CHI,sidney_green,,,2,4,0,,0,0,,,,,,,,,,,4
19841026WSBCHI,,WSB,CHI,CHI,rod_higgins,,,1,1,1,,0,0,,,,,,,,,,,3
19841026WSBCHI,,WSB,CHI,CHI,wes_matthews,,,0,0,0,,2,2,,,,,,,,,,,2
19841026WSBCHI,,WSB,CHI,CHI,dave_corzine,,,1,2,0,,0,0,,,,,,,,,,,2
19841026WSBCHI,,WSB,CHI,CHI,caldwell_jones,,,0,5,0,,0,0,,,,,,,,,,,0
19841026WSBCHI,,WSB,CHI,CHI,jawann_oldham,,,0,1,0,,0,0,,,,,,,,,,,0
19841026WSBCHI,,WSB,CHI,CHI,total,,240,48,88,1,,12,17,,,,46,31,18,,,,,109
19841026BOSDET,,BOS,DET,BOS,larry_bird,,,12,24,1,,8,10,,,,,,,,,,,33
19841026BOSDET,,BOS,DET,BOS,dennis_johnson,,,12,21,0,,5,6,,,,,9,,,,,,29
19841026BOSDET,,BOS,DET,BOS,robert_parish,,,10,12,0,,5,5,,,,,,6,,,,,25
19841026BOSDET,,BOS,DET,BOS,kevin_mchale,,,8,17,0,,3,4,,,,15,,,,,,,19
19841026BOSDET,,BOS,DET,BOS,danny_ainge,,,5,11,0,,0,0,,,,,,,,,,,10
19841026BOSDET,,BOS,DET,BOS,quinn_buckner,,,2,3,0,,2,2,,,,,,,,,,,6
19841026BOSDET,,BOS,DET,BOS,scott_wedman,,,2,7,0,,0,0,,,,,,,,,,,4
19841026BOSDET,,BOS,DET,BOS,greg_kite,,,1,3,0,,0,0,,,,,,,,,,,2
19841026BOSDET,,BOS,DET,BOS,ml_carr,,,1,2,0,,0,0,,,,,,,,,,,2
19841026BOSDET,,BOS,DET,BOS,total,,240,53,100,1,,23,27,,,,59,34,26,,,,,130
19841026BOSDET,,BOS,DET,DET,isiah_thomas,,,13,32,3,,6,6,,,,,11,,,,,,35
19841026BOSDET,,BOS,DET,DET,bill_laimbeer,,,9,18,1,,5,8,,,,13,,,,,,,24
19841026BOSDET,,BOS,DET,DET,kelly_tripucka,,,6,13,0,,10,10,,,,,,,,,,,22
19841026BOSDET,,BOS,DET,DET,vinnie_johnson,,,6,15,0,,0,0,,,,,,,,,,,12
19841026BOSDET,,BOS,DET,DET,dan_roundfield,,,5,17,0,,1,1,,,,,,,,,,,11
19841026BOSDET,,BOS,DET,DET,terry_tyler,,,4,7,0,,0,0,,,,,,,,,,,8
19841026BOSDET,,BOS,DET,DET,kent_benson,,,2,3,0,,1,1,,,,,,,,,,,5
19841026BOSDET,,BOS,DET,DET,sidney_lowe,,,2,3,0,,0,0,,,,,,,,,,,4
19841026BOSDET,,BOS,DET,DET,tony_campbell,,,1,1,0,,0,0,,,,,,,,,,,2
19841026BOSDET,,BOS,DET,DET,earl_cureton,,,0,2,0,,0,0,,,,,,,,,,,0
19841026BOSDET,,BOS,DET,DET,total,,240,48,111,4,,23,26,,,,49,25,28,,,,,123
19841026PHOGSW,,PHO,GSW,PHO,james_edwards,,,10,14,0,,10,11,,,,,,,,,,,30
19841026PHOGSW,,PHO,GSW,PHO,rod_foster,,,9,15,1,,4,4,,,,,,,,,,,23
19841026PHOGSW,,PHO,GSW,PHO,alvan_adams,,,9,14,0,,4,5,,,,,,,,,,,22
19841026PHOGSW,,PHO,GSW,PHO,larry_nance,,,7,11,0,,0,2,,,,11,,,,,,,14
19841026PHOGSW,,PHO,GSW,PHO,mike_holton,,,5,11,0,,2,3,,,,,,,,,,,12
19841026PHOGSW,,PHO,GSW,PHO,kyle_macy,,,2,3,0,,6,8,,,,,11,,,,,,10
19841026PHOGSW,,PHO,GSW,PHO,jay_humphries,,,2,4,0,,0,0,,,,,,,,,,,4
19841026PHOGSW,,PHO,GSW,PHO,alvin_scott,,,1,3,0,,1,2,,,,,,,,,,,3
19841026PHOGSW,,PHO,GSW,PHO,charles_pittman,,,1,3,0,,0,0,,,,,,,,,,,2
19841026PHOGSW,,PHO,GSW,PHO,rick_robey,,,1,2,0,,0,0,,,,,,,,,,,2
19841026PHOGSW,,PHO,GSW,PHO,total,,240,47,80,1,,27,35,,,,37,32,33,,,,,122
19841026PHOGSW,,PHO,GSW,GSW,sleepy_floyd,,,11,19,1,,5,6,,,,,,,,,,,28
19841026PHOGSW,,PHO,GSW,GSW,purvis_short,,,8,21,1,,7,9,,,,,,6,,,,,24
19841026PHOGSW,,PHO,GSW,GSW,jerome_whitehead,,,5,7,0,,5,7,,,,,,,,,,,15
19841026PHOGSW,,PHO,GSW,GSW,steve_burtt,,,4,9,0,,2,4,,,,,,,,,,,10
19841026PHOGSW,,PHO,GSW,GSW,mickey_johnson,,,2,8,0,,4,6,,,,,,,,,,,8
19841026PHOGSW,,PHO,GSW,GSW,mike_bratz,,,2,4,0,,4,4,,,,,4,,,,,,8
19841026PHOGSW,,PHO,GSW,GSW,chuck_aleksinas,,,3,5,0,,1,1,,,,,,,,,,,7
19841026PHOGSW,,PHO,GSW,GSW,larry_smith,,,3,4,0,,0,0,,,,8,,,,,,,6
19841026PHOGSW,,PHO,GSW,GSW,othell_wilson,,,2,3,0,,0,0,,,,,,,,,,,4
19841026PHOGSW,,PHO,GSW,GSW,gary_plummer,,,1,3,0,,0,0,,,,,,,,,,,2
19841026PHOGSW,,PHO,GSW,GSW,peter_thibeaux,,,1,2,0,,0,2,,,,,,,,,,,2
19841026PHOGSW,,PHO,GSW,GSW,total,,240,42,85,2,,28,39,,,,33,20,30,,,,,114
19841026ATLNJN,,ATL,NJN,ATL,dominique_wilkins,,,14,21,0,,6,10,,,,,,,,,,,34
19841026ATLNJN,,ATL,NJN,ATL,doc_rivers,,,8,10,0,,4,4,,,,,,,,,,,20
19841026ATLNJN,,ATL,NJN,ATL,sly_williams,,,8,12,0,,2,2,,,,,,,,,,,18
19841026ATLNJN,,ATL,NJN,ATL,eddie_johnson,,,7,14,1,,0,0,,,,,7,,,,,,15
19841026ATLNJN,,ATL,NJN,ATL,antoine_carr,,,4,5,0,,2,2,,,,,,,,,,,10
19841026ATLNJN,,ATL,NJN,ATL,cliff_levingston,,,4,8,0,,0,0,,,,8,,,,,,,8
19841026ATLNJN,,ATL,NJN,ATL,tree_rollins,,,3,4,0,,0,0,,,,,,,,,,,6
19841026ATLNJN,,ATL,NJN,ATL,mike_glenn,,,2,8,0,,0,0,,,,,,,,,,,4
19841026ATLNJN,,ATL,NJN,ATL,jerry_eaves,,,0,0,0,,2,2,,,,,,,,,,,2
19841026ATLNJN,,ATL,NJN,ATL,kevin_willis,,,1,3,0,,0,0,,,,,,,,,,,2
19841026ATLNJN,,ATL,NJN,ATL,leo_rautins,,,0,0,0,,0,0,,,,,,,,,,,0
19841026ATLNJN,,ATL,NJN,ATL,rickey_brown,,,0,3,0,,0,0,,,,,,,,,,,0
19841026ATLNJN,,ATL,NJN,ATL,total,,240,51,88,1,,16,20,,,,42,21,28,,,,,119
19841026ATLNJN,,ATL,NJN,NJN,buck_williams,,,6,10,0,,6,9,,,,10,,,,,,,18
19841026ATLNJN,,ATL,NJN,NJN,micheal_ray_richardson,,,5,14,1,,4,4,,,,,8,,,,,,15
19841026ATLNJN,,ATL,NJN,NJN,otis_birdsong,,,7,19,0,,1,2,,,,,,,,,,,15
19841026ATLNJN,,ATL,NJN,NJN,darryl_dawkins,,,5,8,0,,4,4,,,,,,,,,,,14
19841026ATLNJN,,ATL,NJN,NJN,mike_gminski,,,3,6,0,,3,4,,,,,,,,,,,9
19841026ATLNJN,,ATL,NJN,NJN,michael_wilson,,,4,5,0,,0,0,,,,,,,,,,,8
19841026ATLNJN,,ATL,NJN,NJN,mike_o'koren,,,3,9,0,,1,2,,,,,,,,,,,7
19841026ATLNJN,,ATL,NJN,NJN,darwin_cook,,,3,9,0,,0,0,,,,,,,,,,,6
19841026ATLNJN,,ATL,NJN,NJN,jeff_turner,,,1,2,0,,3,3,,,,,,,,,,,5
19841026ATLNJN,,ATL,NJN,NJN,kelvin_ransey,,,2,2,0,,1,2,,,,,,,,,,,5
19841026ATLNJN,,ATL,NJN,NJN,wayne_sappleton,,,1,3,0,,0,0,,,,,,,,,,,2
