gameid,gameid_num,away,home,tm,line,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20150326INDMIL,0021401073,IND,MIL,IND,155,solomon_hill,F,22:52,2,7,1,2,0,0,-4,2,4,6,2,4,0,4,0,2,5
20150326INDMIL,0021401073,IND,MIL,IND,155,luis_scola,F,29:20,6,12,0,1,3,5,-13,5,3,8,2,4,1,2,1,0,15
20150326INDMIL,0021401073,IND,MIL,IND,155,roy_hibbert,C,27:20,3,5,0,0,4,4,-8,1,2,3,0,3,1,1,2,0,10
20150326INDMIL,0021401073,IND,MIL,IND,155,cj_miles,G,32:11,7,14,4,8,8,10,-4,1,2,3,1,3,1,2,0,0,26
20150326INDMIL,0021401073,IND,MIL,IND,155,george_hill,G,33:41,7,12,6,10,4,5,+3,1,2,3,5,4,1,5,0,0,24
20150326INDMIL,0021401073,IND,MIL,IND,155,damjan_rudez,,23:30,1,6,1,5,0,0,-11,0,3,3,0,1,0,0,0,0,3
20150326INDMIL,0021401073,IND,MIL,IND,155,cj_watson,,31:57,4,9,2,4,13,15,+3,1,6,7,7,5,2,4,0,0,23
20150326INDMIL,0021401073,IND,MIL,IND,155,ian_mahinmi,,20:28,0,2,0,0,1,4,+5,1,4,5,0,3,0,0,1,0,1
20150326INDMIL,0021401073,IND,MIL,IND,155,lavoy_allen,,18:40,0,4,0,0,0,0,+9,0,3,3,1,1,1,1,0,1,0
20150326INDMIL,0021401073,IND,MIL,IND,155,total,,240,30,71,14,30,33,43,,12,29,41,18,28,7,19,4,3,107
20150326INDMIL,0021401073,IND,MIL,MIL,-175,giannis_antetokounmpo,F,43:02,7,10,0,1,2,4,+13,1,3,4,2,3,0,1,1,1,16
20150326INDMIL,0021401073,IND,MIL,MIL,-175,ersan_ilyasova,F,35:40,12,14,5,6,5,6,+19,1,5,6,2,3,2,0,0,1,34
20150326INDMIL,0021401073,IND,MIL,MIL,-175,zaza_pachulia,C,32:23,4,7,0,0,4,4,+9,1,5,6,3,5,2,3,0,0,12
20150326INDMIL,0021401073,IND,MIL,MIL,-175,khris_middleton,G,33:55,6,12,2,3,3,3,+9,0,3,3,1,4,0,3,0,0,17
20150326INDMIL,0021401073,IND,MIL,MIL,-175,michael_carter-williams,G,29:12,3,11,0,1,7,11,+17,1,4,5,8,6,4,2,0,1,13
20150326INDMIL,0021401073,IND,MIL,MIL,-175,oj_mayo,,13:11,1,5,1,4,0,0,-10,0,1,1,4,4,0,2,0,1,3
