gameid_num,gameid,away,home
0021300001,20131029ORLIND,ORL,IND
0021300002,20131029CHIMIA,CHI,MIA
0021300003,20131029LACLAL,LAC,LAL
0021300004,20131030BKNCLE,BKN,CLE
0021300005,20131030MIAPHI,MIA,PHI
0021300006,20131030BOSTOR,BOS,TOR
0021300007,20131030WASDET,WAS,DET
0021300008,20131030MILNYK,MIL,NYK
0021300009,20131030CHAHOU,CHA,HOU
0021300010,20131030ORLMIN,ORL,MIN
0021300011,20131030INDNOP,IND,NOP
0021300012,20131030ATLDAL,ATL,DAL
0021300013,20131030MEMSAS,MEM,SAS
0021300014,20131030OKCUTA,OKC,UTA
0021300015,20131030PORPHX,POR,PHX
0021300016,20131030DENSAC,DEN,SAC
0021300017,20131030LALGSW,LAL,GSW
0021300018,20131031NYKCHI,NYK,CHI
0021300019,20131031GSWLAC,GSW,LAC
0021300020,20131101CLECHA,CLE,CHA
0021300021,20131101NOPORL,NOP,ORL
0021300022,20131101PHIWAS,PHI,WAS
0021300023,20131101TORATL,TOR,ATL
0021300024,20131101MILBOS,MIL,BOS
0021300025,20131101DALHOU,DAL,HOU
0021300026,20131101DETMEM,DET,MEM
0021300027,20131101OKCMIN,OKC,MIN
0021300028,20131101MIABKN,MIA,BKN
0021300029,20131101PORDEN,POR,DEN
0021300030,20131101UTAPHX,UTA,PHX
0021300031,20131101LACSAC,LAC,SAC
0021300032,20131101SASLAL,SAS,LAL
0021300033,20131102CLEIND,CLE,IND
0021300034,20131102CHIPHI,CHI,PHI
0021300035,20131102CHANOP,CHA,NOP
0021300036,20131102MEMDAL,MEM,DAL
0021300037,20131102TORMIL,TOR,MIL
0021300038,20131102HOUUTA,HOU,UTA
0021300039,20131102SASPOR,SAS,POR
0021300040,20131102SACGSW,SAC,GSW
0021300041,20131103BOSDET,BOS,DET
0021300042,20131103WASMIA,WAS,MIA
0021300043,20131103BKNORL,BKN,ORL
0021300044,20131103PHXOKC,PHX,OKC
0021300045,20131103MINNYK,MIN,NYK
0021300046,20131103ATLLAL,ATL,LAL
0021300047,20131104MINCLE,MIN,CLE
0021300048,20131104GSWPHI,GSW,PHI
0021300049,20131104BOSMEM,BOS,MEM
0021300050,20131104HOULAC,HOU,LAC
0021300051,20131105MIATOR,MIA,TOR
0021300052,20131105UTABKN,UTA,BKN
0021300053,20131105INDDET,IND,DET
0021300054,20131105CHANYK,CHA,NYK
0021300055,20131105PHXNOP,PHX,NOP
0021300056,20131105LALDAL,LAL,DAL
0021300057,20131105SASDEN,SAS,DEN
0021300058,20131105HOUPOR,HOU,POR
0021300059,20131105ATLSAC,ATL,SAC
0021300060,20131106TORCHA,TOR,CHA
0021300061,20131106CHIIND,CHI,IND
0021300062,20131106LACORL,LAC,ORL
0021300063,20131106WASPHI,WAS,PHI
0021300064,20131106UTABOS,UTA,BOS
0021300065,20131106NOPMEM,NOP,MEM
0021300066,20131106CLEMIL,CLE,MIL
0021300067,20131106GSWMIN,GSW,MIN
0021300068,20131106PHXSAS,PHX,SAS
0021300069,20131106DALOKC,DAL,OKC
0021300070,20131107LACMIA,LAC,MIA
0021300071,20131107ATLDEN,ATL,DEN
0021300072,20131107LALHOU,LAL,HOU
0021300073,20131108NYKCHA,NYK,CHA
0021300074,20131108TORIND,TOR,IND
0021300075,20131108BOSORL,BOS,ORL
0021300076,20131108CLEPHI,CLE,PHI
0021300077,20131108BKNWAS,BKN,WAS
0021300078,20131108OKCDET,OKC,DET
0021300079,20131108UTACHI,UTA,CHI
0021300080,20131108DALMIN,DAL,MIN
0021300081,20131108LALNOP,LAL,NOP
0021300082,20131108GSWSAS,GSW,SAS
0021300083,20131108DENPHX,DEN,PHX
0021300084,20131108SACPOR,SAC,POR
0021300085,20131109UTATOR,UTA,TOR
0021300086,20131109ORLATL,ORL,ATL
0021300087,20131109INDBKN,IND,BKN
0021300088,20131109PHICLE,PHI,CLE
0021300089,20131109BOSMIA,BOS,MIA
0021300090,20131109LACHOU,LAC,HOU
0021300091,20131109GSWMEM,GSW,MEM
0021300092,20131109DALMIL,DAL,MIL
0021300093,20131109PORSAC,POR,SAC
0021300094,20131110SASNYK,SAS,NYK
0021300095,20131110WASOKC,WAS,OKC
0021300096,20131110NOPPHX,NOP,PHX
0021300097,20131110MINLAL,MIN,LAL
0021300098,20131111ATLCHA,ATL,CHA
0021300099,20131111MEMIND,MEM,IND
0021300100,20131111SASPHI,SAS,PHI
0021300101,20131111ORLBOS,ORL,BOS
0021300102,20131111CLECHI,CLE,CHI
0021300103,20131111TORHOU,TOR,HOU
0021300104,20131111DENUTA,DEN,UTA
0021300105,20131111DETPOR,DET,POR
0021300106,20131111MINLAC,MIN,LAC
0021300107,20131112MILMIA,MIL,MIA
0021300108,20131112WASDAL,WAS,DAL
0021300109,20131112DETGSW,DET,GSW
0021300110,20131112NOPLAL,NOP,LAL
0021300111,20131113MILORL,MIL,ORL
0021300112,20131113HOUPHI,HOU,PHI
0021300113,20131113CHABOS,CHA,BOS
0021300114,20131113TORMEM,TOR,MEM
0021300115,20131113CLEMIN,CLE,MIN
0021300116,20131113NYKATL,NYK,ATL
0021300117,20131113WASSAS,WAS,SAS
0021300118,20131113LALDEN,LAL,DEN
0021300119,20131113NOPUTA,NOP,UTA
0021300120,20131113PHXPOR,PHX,POR
0021300121,20131113BKNSAC,BKN,SAC
0021300122,20131113OKCLAC,OKC,LAC
0021300123,20131114HOUNYK,HOU,NYK
0021300124,20131114OKCGSW,OKC,GSW
0021300125,20131115MILIND,MIL,IND
0021300126,20131115CHITOR,CHI,TOR
0021300127,20131115PHIATL,PHI,ATL
0021300128,20131115PORBOS,POR,BOS
0021300129,20131115CHACLE,CHA,CLE
0021300130,20131115DALMIA,DAL,MIA
0021300131,20131115MINDEN,MIN,DEN
0021300132,20131115BKNPHX,BKN,PHX
0021300133,20131115SASUTA,SAS,UTA
0021300134,20131115MEMLAL,MEM,LAL
0021300135,20131115DETSAC,DET,SAC
0021300136,20131116MIACHA,MIA,CHA
0021300137,20131116DALORL,DAL,ORL
0021300138,20131116CLEWAS,CLE,WAS
0021300139,20131116ATLNYK,ATL,NYK
0021300140,20131116INDCHI,IND,CHI
0021300141,20131116DENHOU,DEN,HOU
0021300142,20131116BOSMIN,BOS,MIN
0021300143,20131116PHINOP,PHI,NOP
0021300144,20131116OKCMIL,OKC,MIL
0021300145,20131116UTAGSW,UTA,GSW
0021300146,20131116BKNLAC,BKN,LAC
0021300147,20131117PORTOR,POR,TOR
0021300148,20131117MEMSAC,MEM,SAC
0021300149,20131117DETLAL,DET,LAL
0021300150,20131118PORBKN,POR,BKN
0021300151,20131118CHACHI,CHA,CHI
0021300152,20131118DENOKC,DEN,OKC
0021300153,20131118PHIDAL,PHI,DAL
0021300154,20131118GSWUTA,GSW,UTA
0021300155,20131118MEMLAC,MEM,LAC
0021300156,20131119MINWAS,MIN,WAS
0021300157,20131119NYKDET,NYK,DET
0021300158,20131119ATLMIA,ATL,MIA
0021300159,20131119BOSHOU,BOS,HOU
0021300160,20131119PHXSAC,PHX,SAC
0021300161,20131120BKNCHA,BKN,CHA
0021300162,20131120WASCLE,WAS,CLE
0021300163,20131120INDNYK,IND,NYK
0021300164,20131120MIAORL,MIA,ORL
0021300165,20131120TORPHI,TOR,PHI
0021300166,20131120DETATL,DET,ATL
0021300167,20131120PORMIL,POR,MIL
0021300168,20131120LACMIN,LAC,MIN
0021300169,20131120UTANOP,UTA,NOP
0021300170,20131120BOSSAS,BOS,SAS
0021300171,20131120SACPHX,SAC,PHX
0021300172,20131120HOUDAL,HOU,DAL
0021300173,20131120MEMGSW,MEM,GSW
0021300174,20131121LACOKC,LAC,OKC
0021300175,20131121CHIDEN,CHI,DEN
0021300176,20131122PHXCHA,PHX,CHA
0021300177,20131122MILPHI,MIL,PHI
0021300178,20131122WASTOR,WAS,TOR
0021300179,20131122INDBOS,IND,BOS
0021300180,20131122ATLDET,ATL,DET
0021300181,20131122SASMEM,SAS,MEM
0021300182,20131122BKNMIN,BKN,MIN
0021300183,20131122CLENOP,CLE,NOP
0021300184,20131122UTADAL,UTA,DAL
0021300185,20131122CHIPOR,CHI,POR
0021300186,20131122GSWLAL,GSW,LAL
0021300187,20131123SACLAC,SAC,LAC
0021300188,20131123PHIIND,PHI,IND
0021300189,20131123NYKWAS,NYK,WAS
0021300190,20131123BOSATL,BOS,ATL
0021300191,20131123ORLMIA,ORL,MIA
0021300192,20131123MINHOU,MIN,HOU
0021300193,20131123CHAMIL,CHA,MIL
0021300194,20131123CLESAS,CLE,SAS
0021300195,20131123DALDEN,DAL,DEN
0021300196,20131123PORGSW,POR,GSW
0021300197,20131124DETBKN,DET,BKN
0021300198,20131124CHILAC,CHI,LAC
0021300199,20131124PHXORL,PHX,ORL
0021300200,20131124UTAOKC,UTA,OKC
0021300201,20131124SACLAL,SAC,LAL
0021300202,20131125BOSCHA,BOS,CHA
0021300203,20131125MININD,MIN,IND
0021300204,20131125MILDET,MIL,DET
0021300205,20131125PHXMIA,PHX,MIA
0021300206,20131125HOUMEM,HOU,MEM
0021300207,20131125DENDAL,DEN,DAL
0021300208,20131125NOPSAS,NOP,SAS
0021300209,20131125CHIUTA,CHI,UTA
0021300210,20131125NYKPOR,NYK,POR
0021300211,20131126BKNTOR,BKN,TOR
0021300212,20131126LALWAS,LAL,WAS
0021300213,20131126ORLATL,ORL,ATL
0021300214,20131126GSWNOP,GSW,NOP
0021300215,20131127INDCHA,IND,CHA
0021300216,20131127PHIORL,PHI,ORL
0021300217,20131127MEMBOS,MEM,BOS
0021300218,20131127LALBKN,LAL,BKN
0021300219,20131127MIACLE,MIA,CLE
0021300220,20131127CHIDET,CHI,DET
0021300221,20131127ATLHOU,ATL,HOU
0021300222,20131127WASMIL,WAS,MIL
0021300223,20131127DENMIN,DEN,MIN
0021300224,20131127SASOKC,SAS,OKC
0021300225,20131127GSWDAL,GSW,DAL
0021300226,20131127PORPHX,POR,PHX
0021300227,20131127NYKLAC,NYK,LAC
0021300228,20131129MILCHA,MIL,CHA
0021300229,20131129SASORL,SAS,ORL
0021300230,20131129MIATOR,MIA,TOR
0021300231,20131129DALATL,DAL,ATL
0021300232,20131129CLEBOS,CLE,BOS
0021300233,20131129LALDET,LAL,DET
0021300234,20131129BKNHOU,BKN,HOU
0021300235,20131129GSWOKC,GSW,OKC
0021300236,20131129WASIND,WAS,IND
0021300237,20131129NOPPHI,NOP,PHI
0021300238,20131129NYKDEN,NYK,DEN
0021300239,20131129PHXUTA,PHX,UTA
0021300240,20131129LACSAC,LAC,SAC
0021300241,20131130ATLWAS,ATL,WAS
0021300242,20131130CHICLE,CHI,CLE
0021300243,20131130BKNMEM,BKN,MEM
0021300244,20131130MINDAL,MIN,DAL
0021300245,20131130HOUSAS,HOU,SAS
0021300246,20131130UTAPHX,UTA,PHX
0021300247,20131130BOSMIL,BOS,MIL
0021300248,20131201DENTOR,DEN,TOR
0021300249,20131201INDLAC,IND,LAC
