year,start,stop
79,1979/10/12,1980/03/30
80,1980/10/10,1981/03/29
81,1981/10/30,1982/04/18
82,1982/10/29,1983/04/17
83,1983/10/28,1984/04/15
84,1984/10/26,1985/04/14
85,1985/10/25,1986/04/13
86,1986/10/31,1987/04/19
87,1987/11/06,1988/04/24
88,1988/11/04,1989/04/23
89,1989/11/03,1990/04/22
90,1990/11/02,1991/04/21
91,1991/11/01,1992/04/19
92,1992/11/06,1993/04/25
93,1993/11/05,1994/04/24
94,1994/11/04,1995/04/23
95,1995/11/03,1996/04/21
96,1996/11/01,1997/04/20
97,1997/10/31,1998/04/19
98,1999/02/05,1999/05/05
99,1999/11/02,2000/04/19
00,2000/10/31,2001/04/18
01,2001/10/30,2002/04/17
02,2002/10/29,2003/04/16
03,2003/10/28,2004/04/14
04,2004/11/02,2005/04/20
05,2005/11/01,2006/04/19
06,2006/10/31,2007/04/18
07,2007/10/30,2008/04/16
08,2008/10/28,2009/04/16
09,2009/10/27,2010/04/14
10,2010/10/26,2011/04/13
11,2011/12/25,2012/04/26
12,2012/10/30,2013/04/17
13,2013/10/29,2014/04/16
14,2014/10/28,2015/04/15
