seasonid,seasonyear,startdate,enddate
00279,1980,10/12/1979,03/30/1980
00280,1981,10/10/1980,03/29/1981
00281,1982,10/30/1981,04/18/1982
00282,1983,10/29/1982,04/17/1983
00283,1984,10/28/1983,04/15/1984
00284,1985,10/28/1984,04/14/1985
00285,1986,10/25/1985,04/13/1986
00286,1987,10/31/1986,04/19/1987
00287,1988,11/06/1987,04/24/1988
00288,1989,11/04/1988,04/23/1989
00289,1990,11/03/1989,04/22/1990
00280,1991,11/02/1990,04/21/1991
00291,1992,11/01/1991,04/19/1992
00292,1993,11/06,1992,04/25/1993
00293,1994,11/05/1993,04/24/1994
00294,1995,11/04/1994,04/23/1995
00295,1996,11/03/1995,04/21/1996
00296,1997,11/01/1996,04/20/1997
00297,1998,10/31/1997,04/19/1998
00298,1999,02/05/1999,05/05/1999
00299,2000,11/02/1999,04/19/2000
00200,2001,10/31/2000,04/18/2001
00201,2002,10/30/2001,04/17/2002
00202,2003,10/29/2002,04/16/2003
00203,2004,10/28/2003,04/14/2004
00204,2005,11/02/2004,04/20/2005
00205,2006,11/01/2005,04/19/2006
00206,2007,10/31/2006,04/18/2007
00207,2008,10/30/2007,04/16/2008
00208,2009,10/28/2008,04/16/2009
00209,2010,10/27/2009,04/14/2010
00210,2011,10/26/2010,04/13/2011
00211,2012,12/25/2011,04/26/2012
00212,2013,10/30/2012,04/17/2013
00213,2014,10/29/2013,04/16/2014
00214,2015,10/28/2014,04/15/2015
00215,2016,10/27/2015,04/13/2016
