gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts,line
20131029ORLIND,0021300001,ORL,IND,ORL,total, ,240,36,93,9,19,6,10, ,13,26,39,17,26,10,17,6,18,87,700
20131029ORLIND,0021300001,ORL,IND,IND,total, ,240,34,71,7,17,22,32, ,10,34,44,17,13,4,20,18,6,97,-1000
20131029CHIMIA,0021300002,CHI,MIA,CHI,total, ,240,35,83,7,26,18,23, ,11,30,41,23,27,11,18,4,7,95,180
20131029CHIMIA,0021300002,CHI,MIA,MIA,total, ,240,37,72,11,20,22,29, ,5,35,40,26,21,10,18,7,4,107,-220
20131029LACLAL,0021300003,LAC,LAL,LAC,total, ,240,41,83,8,21,13,23, ,10,30,40,27,21,11,16,4,6,103,-600
20131029LACLAL,0021300003,LAC,LAL,LAL,total, ,240,42,93,14,29,18,28, ,18,34,52,23,23,8,19,6,4,116,450
20131030BKNCLE,0021300004,BKN,CLE,BKN,total, ,240,33,82,9,24,19,24, ,9,28,37,24,27,8,15,8,3,94,135
20131030BKNCLE,0021300004,BKN,CLE,CLE,total, ,240,35,84,5,15,23,34, ,16,32,48,21,20,7,11,3,8,98,-155
20131030MIAPHI,0021300005,MIA,PHI,MIA,total, ,240,42,85,16,40,10,13, ,7,24,31,30,25,7,19,0,1,110,-700
20131030MIAPHI,0021300005,MIA,PHI,PHI,total, ,240,43,80,8,21,20,24, ,8,32,40,24,21,16,18,1,0,114,500
20131030BOSTOR,0021300006,BOS,TOR,BOS,total, ,240,32,66,3,13,20,29, ,7,26,33,15,27,10,22,7,6,87,310
20131030BOSTOR,0021300006,BOS,TOR,TOR,total, ,240,38,86,5,17,12,23, ,19,29,48,15,25,9,17,6,7,93,-370
20131030WASDET,0021300007,WAS,DET,WAS,total, ,240,34,78,10,25,24,32, ,13,25,38,23,30,5,16,3,4,102,120
20131030WASDET,0021300007,WAS,DET,DET,total, ,240,39,78,9,24,26,33, ,12,32,44,24,27,6,18,4,3,113,-140
20131030MILNYK,0021300008,MIL,NYK,MIL,total, ,240,34,74,5,16,10,12, ,5,26,31,19,22,10,23,4,6,83,300
20131030MILNYK,0021300008,MIL,NYK,NYK,total, ,240,36,71,3,13,15,17, ,6,28,34,17,16,12,22,6,4,90,-360
20131030CHAHOU,0021300009,CHA,HOU,CHA,total, ,240,33,90,4,10,13,20, ,12,25,37,14,21,8,7,6,6,83,900
20131030CHAHOU,0021300009,CHA,HOU,HOU,total, ,240,36,76,9,25,15,24, ,14,40,54,17,16,4,18,6,6,96,-1400
20131030ORLMIN,0021300010,ORL,MIN,ORL,total, ,265,47,100,10,27,11,18, ,14,40,54,21,29,7,18,6,3,115,500
20131030ORLMIN,0021300010,ORL,MIN,MIN,total, ,265,42,100,8,25,28,34, ,14,35,49,27,19,7,14,3,6,120,-700
20131030INDNOP,0021300011,IND,NOP,IND,total, ,240,30,70,10,23,25,30, ,6,31,37,19,18,5,16,12,5,95,100
20131030INDNOP,0021300011,IND,NOP,NOP,total, ,240,34,85,5,11,17,21, ,15,28,43,17,29,7,15,5,12,90,-120
20131030ATLDAL,0021300012,ATL,DAL,ATL,total, ,240,37,76,8,24,27,35, ,5,28,33,27,20,16,17,5,2,109,200
20131030ATLDAL,0021300012,ATL,DAL,DAL,total, ,240,44,77,11,24,19,24, ,7,35,42,31,22,7,20,2,5,118,-240
20131030MEMSAS,0021300013,MEM,SAS,MEM,total, ,240,39,93,8,15,8,15, ,11,33,44,24,15,6,14,3,6,94,210
20131030MEMSAS,0021300013,MEM,SAS,SAS,total, ,240,40,76,11,20,10,16, ,4,36,40,25,18,3,15,6,3,101,-250
20131030OKCUTA,0021300014,OKC,UTA,OKC,total, ,240,33,81,6,19,29,33, ,10,35,45,9,24,15,13,4,5,101,230
20131030OKCUTA,0021300014,OKC,UTA,UTA,total, ,240,36,79,6,22,20,30, ,10,34,44,25,28,6,22,5,4,98,-270
20131030PORPHX,0021300015,POR,PHX,POR,total, ,240,33,81,8,26,17,24, ,11,28,39,19,14,5,13,5,5,91,-220
20131030PORPHX,0021300015,POR,PHX,PHX,total, ,240,43,83,4,19,14,18, ,11,36,47,18,17,8,15,5,5,104,180
20131030DENSAC,0021300016,DEN,SAC,DEN,total, ,240,34,79,5,15,15,17, ,8,33,41,19,21,3,18,11,7,88,120
20131030DENSAC,0021300016,DEN,SAC,SAC,total, ,240,33,81,8,21,16,23, ,11,30,41,13,26,8,14,7,11,90,-140
